Dataset,Status,Triangles,Kernel_ms,E2E_after_clean_ms,Wall_ms,Cleaning_ms,Build_ms,Retcode,Reason,Log
shyy41,OK,3040,0.024600,0.705280,364.477396,1.776400,,0,,
spaceStation_13,OK,9149,0.031700,0.707392,1286.388397,1.795100,,0,,
bcsstk23,OK,29737,0.034800,0.716160,383.318901,1.810300,,0,,
bcsstm13,OK,54380,0.031700,0.681728,332.508802,1.828900,,0,,
g7jac020,OK,63905,0.095200,0.906496,1292.184114,9.921500,,0,,
lpl1,OK,97633,0.192500,1.016352,504.375219,5.781500,,0,,
net50,OK,151640,0.067600,1.417280,1666.164875,3.513100,,0,,
msc04515,OK,169488,0.027600,0.814496,406.600475,1.856800,,0,,
tandem_vtx,OK,193422,0.163800,1.159488,1391.813278,5.400600,,0,,
delaunay_n17,OK,263620,0.272400,1.769312,758.973122,9.371600,,0,,
ex9,OK,288450,0.031700,0.731264,1423.533678,1.835400,,0,,
mac_econ_fwd500,OK,298904,1.867800,6.810016,2200.550795,75.505700,,0,,
torso2,OK,466426,0.166900,1.591840,1744.554520,7.769100,,0,,
wiki-Vote,OK,608389,0.097300,1.186208,417.255640,5.788700,,0,,
bcsstk24,OK,703212,0.044000,0.723392,1349.335909,1.886400,,0,,
mc2depi,OK,1048576,0.496600,2.927456,2170.324802,15.471600,,0,,
dawson5,OK,1428486,0.208900,1.579488,1882.588625,13.996000,,0,,
struct3,OK,1891920,0.127000,1.646880,954.173326,8.221700,,0,,
g7jac140sc,OK,3863178,0.217100,1.667072,1222.565889,7.512100,,0,,
nemeth16,OK,4161903,0.034800,1.249920,696.118832,3.173200,,0,,
webbase-1M,OK,6106033,1.272800,5.029856,3254.721165,39.683100,,0,,
pli,OK,6162461,0.058400,1.377184,1914.309978,3.980200,,0,,
Freescale1,OK,7502150,3.307500,15.437472,15804.431200,44.685300,,0,,
web-NotreDame,OK,8910005,0.558100,2.666944,1866.184235,18.185200,,0,,
cage14,OK,9610982,29.733900,43.297024,21659.385204,48.155600,,0,,
pcrystk03,OK,9821374,0.057300,1.476160,1791.918755,4.365200,,0,,
pkustk06,OK,12965280,0.099300,1.853344,1964.117765,10.513400,,0,,
bcsstk30,OK,15073574,0.071700,1.617536,1945.600033,4.664900,,0,,
cant,OK,18370150,0.375800,2.427392,2754.327059,12.534800,,0,,
consph,OK,34125815,0.337900,12.882528,4061.853409,43.927600,,0,,
pdb1HYS,OK,48319315,0.265200,2.483040,3118.955612,12.355600,,0,,
pwtk,OK,56997681,0.269300,4.234400,7871.725798,25.060400,,0,,
F1,OK,189516446,1.482800,11.845408,17659.009457,48.153600,,0,,
eu-2005,OK,202170577,7.130100,19.487680,11663.742542,13.424600,,0,,
Si41Ge41H72,OK,573035723,8.707100,14.956800,9772.563219,31.329300,,0,,
Ga41As41H72,OK,574004800,13.028400,20.472351,11732.436657,38.474800,,0,,
