Dataset,Status,Triangles,Kernel_ms,E2E_after_clean_ms,Wall_ms,Cleaning_ms,Build_ms,Retcode,Reason,Log
shyy41,OK,3040,0.026600,0.607520,373.297453,1.889300,,0,,
spaceStation_13,OK,9149,0.027600,0.602784,1255.904675,1.803900,,0,,
bcsstk23,OK,29737,0.027600,0.612544,383.759260,1.761400,,0,,
bcsstm13,OK,54380,0.029700,0.591712,366.835594,1.833000,,0,,
g7jac020,OK,63905,0.059400,0.642848,1319.311142,4.555800,,0,,
lpl1,OK,97633,0.139300,0.944448,524.068594,5.944300,,0,,
net50,OK,151640,0.094200,1.450656,1599.134207,7.666500,,0,,
msc04515,OK,169488,0.028700,0.622400,416.123629,1.807900,,0,,
tandem_vtx,OK,193422,0.068600,0.857568,1389.287710,2.192100,,0,,
delaunay_n17,OK,263620,0.071700,1.428576,752.073526,3.324500,,0,,
ex9,OK,288450,0.028700,0.629920,1331.064463,1.835500,,0,,
mac_econ_fwd500,OK,298904,0.256000,1.983552,2128.693342,4.086600,,0,,
torso2,OK,466426,0.056300,1.311840,1959.492207,3.073200,,0,,
wiki-Vote,OK,608389,0.131100,1.004800,415.549755,5.636100,,0,,
bcsstk24,OK,703212,0.033800,0.667936,1368.671417,2.073300,,0,,
mc2depi,OK,1048576,0.117800,2.218400,2135.621786,5.038600,,0,,
dawson5,OK,1428486,0.056300,1.253760,1828.336000,3.977200,,0,,
struct3,OK,1891920,0.038900,1.443008,1009.740829,3.915400,,0,,
g7jac140sc,OK,3863178,0.160800,1.744288,1200.594187,7.630800,,0,,
nemeth16,OK,4161903,0.026600,1.350752,711.511135,3.240200,,0,,
webbase-1M,OK,6106033,0.351200,2.800928,3190.368891,6.210600,,0,,
pli,OK,6162461,0.064500,1.493568,1939.273119,4.050400,,0,,
Freescale1,OK,7502150,1.049600,10.553824,15741.191149,13.980700,,0,,
web-NotreDame,OK,8910005,0.175100,1.997792,1894.733906,4.280200,,0,,
cage14,OK,9610982,2.099200,12.317376,21636.162281,14.374700,,0,,
pcrystk03,OK,9821374,0.051200,1.572192,1854.696512,4.421100,,0,,
pkustk06,OK,12965280,0.080900,1.690016,1953.522682,10.476500,,0,,
bcsstk30,OK,15073574,0.053200,1.608832,1942.217350,4.639200,,0,,
cant,OK,18370150,0.064500,2.327360,2793.403625,9.121800,,0,,
consph,OK,34125815,0.130000,3.711392,3967.041016,9.590800,,0,,
pdb1HYS,OK,48319315,0.067600,2.095392,3128.200769,6.643600,,0,,
pwtk,OK,56997681,0.139300,4.948928,7808.713198,9.762900,,0,,
F1,OK,189516446,1.486800,12.141600,17665.100813,48.094200,,0,,
eu-2005,OK,202170577,7.128100,19.927296,11661.947966,13.370000,,0,,
Si41Ge41H72,OK,573035723,1.686500,8.615808,9755.355358,11.547900,,0,,
Ga41As41H72,OK,574004800,2.248700,11.289984,11803.190470,12.319200,,0,,
