Dataset,Status,Triangles,Kernel_ms,E2E_after_clean_ms,Wall_ms,Cleaning_ms,Build_ms,Retcode,Reason,Log
shyy41,OK,3040,0.050000,1900.078058,1896.435022,7.529974,3.643036,0,,
spaceStation_13,OK,9149,0.062000,352.118492,350.467682,6.642818,1.650810,0,,
bcsstk23,OK,29737,0.063000,1186.837912,1183.150053,8.863449,3.687859,0,,
bcsstm13,OK,54380,0.103000,310.659170,307.494640,5.682707,3.164530,0,,
g7jac020,OK,63905,0.107000,321.084976,318.207026,13.869762,2.877951,0,,
lpl1,OK,97633,0.228000,1269.587517,1259.480000,37.503719,10.107517,0,,
net50,OK,151640,0.361000,353.509903,336.106300,92.771053,17.403603,0,,
msc04515,OK,169488,0.073000,325.950623,321.732283,15.716314,4.218340,0,,
tandem_vtx,OK,193422,0.117000,1246.575594,1238.180399,28.232574,8.395195,0,,
delaunay_n17,OK,263620,0.265000,376.053095,346.824884,82.603455,29.228210,0,,
ex9,OK,288450,0.089000,338.364124,334.176779,15.480280,4.187346,0,,
mac_econ_fwd500,OK,298904,0.920000,965.741396,903.240204,338.249922,62.501192,0,,
torso2,OK,466426,0.295000,374.846220,349.504232,255.646706,25.341988,0,,
wiki-Vote,OK,608389,1.355000,1254.392147,1247.475386,26.653528,6.916761,0,,
bcsstk24,OK,703212,0.114000,390.979052,385.480404,21.987200,5.498648,0,,
mc2depi,OK,1048576,0.991000,1117.823601,1004.767895,545.629978,113.055706,0,,
dawson5,OK,1428486,0.332000,373.908520,352.218628,118.855476,21.689892,0,,
struct3,OK,1891920,0.363000,1295.021772,1271.251440,121.922016,23.770332,0,,
g7jac140sc,OK,3863178,1.610000,379.290342,358.622789,154.532671,20.667553,0,,
nemeth16,OK,4161903,0.316000,1282.336950,1268.133640,67.415476,14.203310,0,,
webbase-1M,OK,6106033,4.313000,1411.725998,1302.238464,804.684639,109.487534,0,,
pli,OK,6162461,0.944000,385.989904,361.393929,135.293722,24.595976,0,,
Freescale1,OK,7502150,5.404000,1521.074057,671.916723,5963.497400,849.157333,0,,
web-NotreDame,OK,8910005,3.016000,1302.115202,1242.180347,355.794191,59.934855,0,,
cage14,OK,9610982,6.726000,2305.962801,1411.927223,7812.200308,894.035578,0,,
pcrystk03,OK,9821374,0.837000,1304.882765,1274.221182,173.369408,30.661583,0,,
pkustk06,OK,12965280,1.627000,430.467606,387.339592,266.887665,43.128014,0,,
bcsstk30,OK,15073574,2.170000,1101.281166,1067.243099,201.221943,34.038067,0,,
cant,OK,18370150,1.881000,1391.411066,1323.348522,489.273787,68.062544,0,,
consph,OK,34125815,2.789000,1440.917730,1326.203823,723.484993,114.713907,0,,
pdb1HYS,OK,48319315,4.390000,1403.739929,1335.640192,514.723778,68.099737,0,,
pwtk,OK,56997681,3.247000,769.225836,528.022289,1522.693396,241.203547,0,,
F1,OK,189516446,15.078000,2329.091787,1795.302868,3638.997316,533.788919,0,,
eu-2005,OK,202170577,751.844000,6303.169727,5549.265385,5168.975115,753.904343,0,,
Si41Ge41H72,OK,573035723,27.070000,1870.764256,1581.342697,1860.610485,289.421558,0,,
Ga41As41H72,OK,574004800,31.652000,2017.543077,1632.657051,2332.839727,384.886026,0,,
