Dataset,Status,Triangles,Kernel_ms,E2E_after_clean_ms,Wall_ms,Cleaning_ms,Build_ms,Retcode,Reason,Log
shyy41,OK,3040,0.302000,3054.716825,3051.517725,7.494688,3.199100,0,,
spaceStation_13,OK,9149,0.868000,341.921568,338.354111,6.563187,3.567457,0,,
bcsstk23,OK,29737,0.868000,1256.393671,1252.439499,9.863377,3.954172,0,,
bcsstm13,OK,54380,0.871000,344.628811,342.005491,5.177975,2.623320,0,,
g7jac020,OK,63905,0.874000,350.050926,345.880032,13.906002,4.170895,0,,
lpl1,OK,97633,0.878000,1261.202097,1252.882242,36.435127,8.319855,0,,
net50,OK,151640,0.866000,420.716524,405.616045,92.311621,15.100479,0,,
msc04515,OK,169488,0.882000,1227.870464,1223.479509,14.937878,4.390955,0,,
tandem_vtx,OK,193422,0.887000,361.636400,352.591038,29.433012,9.045362,0,,
delaunay_n17,OK,263620,0.619000,453.795195,426.731110,80.689430,27.064085,0,,
ex9,OK,288450,0.886000,1224.522829,1219.992399,15.430927,4.530430,0,,
mac_econ_fwd500,OK,298904,1.083000,1395.996094,1331.447363,340.566635,64.548731,0,,
torso2,OK,466426,0.791000,458.467245,431.941748,253.059387,26.525497,0,,
wiki-Vote,OK,608389,0.924000,1238.844156,1232.690096,26.289225,6.154060,0,,
bcsstk24,OK,703212,0.895000,355.392694,349.985838,21.524668,5.406857,0,,
mc2depi,CRASH,,,,1352.460861,547.282934,109.857082,-11,CRASH(SIGSEGV),result-a800/failures/Fox/mc2depi.log
dawson5,OK,1428486,1.049000,1375.105619,1351.996422,119.636774,23.109198,0,,
struct3,OK,1891920,0.976000,428.687334,403.384447,123.629570,25.302887,0,,
g7jac140sc,OK,3863178,1.119000,1367.804050,1347.387791,152.305841,20.416260,0,,
nemeth16,OK,4161903,0.978000,388.296366,375.388861,69.486618,12.907505,0,,
webbase-1M,OK,6106033,1.102000,1049.161434,943.170786,784.092188,105.990648,0,,
pli,OK,6162461,1.151000,463.639498,440.414667,135.835648,23.224831,0,,
Freescale1,OK,7502150,0.993000,1839.944601,980.919361,5948.426008,859.025240,0,,
web-NotreDame,OK,8910005,1.078000,1057.501793,1003.508806,357.330084,53.992987,0,,
cage14,OK,9610982,3.351000,3573.726892,2697.528839,7811.306000,876.198053,0,,
pcrystk03,OK,9821374,1.302000,449.271917,417.826176,175.363779,31.445742,0,,
pkustk06,OK,12965280,1.376000,1328.672409,1285.339117,266.316891,43.333292,0,,
bcsstk30,OK,15073574,1.310000,477.396488,441.293240,203.235626,36.103249,0,,
cant,OK,18370150,1.684000,1002.168655,933.151007,486.265898,69.017649,0,,
consph,OK,34125815,2.447000,1237.795115,1126.482248,733.519077,111.312866,0,,
pdb1HYS,OK,48319315,2.333000,1371.637344,1303.026676,515.881062,68.610668,0,,
pwtk,OK,56997681,4.238000,1955.222368,1706.151485,1529.976130,249.070883,0,,
F1,OK,189516446,7.511000,3671.407700,3137.502670,4245.545626,533.905029,0,,
eu-2005,OK,202170577,5.918000,3028.769732,2282.243490,5139.515162,746.526241,0,,
Si41Ge41H72,OK,573035723,10.887000,1949.049473,1651.208639,1870.370388,297.840834,0,,
Ga41As41H72,OK,574004800,11.362000,2053.238392,1664.812326,2340.709209,388.426065,0,,
