Dataset,Status,Triangles,Kernel_ms,E2E_after_clean_ms,Wall_ms,Cleaning_ms,Build_ms,Retcode,Reason,Log
shyy41,OK,3040,0.054000,1208.175659,1208.175659,7.314682,0.000000,0,,
spaceStation_13,OK,9149,0.040000,294.534922,294.534922,5.531073,0.000000,0,,
bcsstk23,OK,29737,0.051000,294.092417,294.092417,8.549690,0.000000,0,,
bcsstm13,OK,54380,0.056000,293.124199,293.124199,4.747391,0.000000,0,,
g7jac020,OK,63905,0.075000,1210.294485,1210.294485,14.045000,0.000000,0,,
lpl1,OK,97633,0.212000,337.350845,337.350845,37.046671,0.000000,0,,
net50,OK,151640,0.244000,351.475477,351.475477,92.244625,0.000000,0,,
msc04515,OK,169488,0.065000,1202.127457,1202.127457,14.703989,0.000000,0,,
tandem_vtx,OK,193422,0.112000,306.702852,306.702852,27.959108,0.000000,0,,
delaunay_n17,OK,263620,0.390000,388.705254,388.705254,82.061291,0.000000,0,,
ex9,OK,288450,0.066000,1209.187031,1209.187031,14.802456,0.000000,0,,
mac_econ_fwd500,OK,298904,0.876000,519.032717,519.032717,340.730429,0.000000,0,,
torso2,OK,466426,0.420000,1061.560869,1061.560869,252.582550,0.000000,0,,
wiki-Vote,OK,608389,0.830000,485.282898,485.282898,26.097059,0.000000,0,,
bcsstk24,OK,703212,0.079000,1215.830564,1215.830564,22.108555,0.000000,0,,
mc2depi,OK,1048576,5.399000,1691.512823,1691.512823,547.169685,0.000000,0,,
dawson5,OK,1428486,0.317000,366.215467,366.215467,120.377779,0.000000,0,,
struct3,OK,1891920,0.346000,1299.376011,1299.376011,121.406078,0.000000,0,,
g7jac140sc,OK,3863178,0.428000,396.287918,396.287918,151.713133,0.000000,0,,
nemeth16,OK,4161903,0.210000,1231.665850,1231.665850,68.301439,0.000000,0,,
webbase-1M,OK,6106033,77.597000,21087.920666,21087.920666,793.639183,0.000000,0,,
pli,OK,6162461,0.481000,409.100533,409.100533,136.717081,0.000000,0,,
Freescale1,OK,7502150,16.607000,5425.171614,5425.171614,6010.731459,0.000000,0,,
web-NotreDame,OK,8910005,138.583000,36633.116245,36633.116245,357.073307,0.000000,0,,
cage14,OK,9610982,14.894000,4218.198538,4218.198538,7787.079334,0.000000,0,,
pcrystk03,OK,9821374,0.586000,1316.587448,1316.587448,174.084663,0.000000,0,,
pkustk06,OK,12965280,0.773000,1348.153830,1348.153830,261.478424,0.000000,0,,
bcsstk30,OK,15073574,0.707000,472.731590,472.731590,201.212645,0.000000,0,,
cant,OK,18370150,1.269000,1326.425314,1326.425314,481.846809,0.000000,0,,
consph,OK,34125815,1.965000,1368.077040,1368.077040,764.022827,0.000000,0,,
pdb1HYS,OK,48319315,1.730000,1362.433910,1362.433910,506.905317,0.000000,0,,
pwtk,OK,56997681,3.369000,1653.623104,1653.623104,1552.455902,0.000000,0,,
F1,OK,189516446,16.838000,4872.088432,4872.088432,3648.491383,0.000000,0,,
eu-2005,OOT,,,,600000.000000,5157.493591,0.000000,,TIMEOUT(600s),result-a800/failures/Green/eu-2005.log
Si41Ge41H72,OK,573035723,9.728000,3534.626722,3534.626722,1860.571623,0.000000,0,,
Ga41As41H72,OK,574004800,21.143000,5780.478954,5780.478954,2359.237909,0.000000,0,,
