Dataset,Status,Triangles,Kernel_ms,E2E_after_clean_ms,Wall_ms,Cleaning_ms,Build_ms,Retcode,Reason,Log
shyy41,OK,3040,37.069000,472.693205,468.972683,7.354975,3.720522,0,,
spaceStation_13,OK,9149,0.220000,1205.313444,1201.303720,5.025864,4.009724,0,,
bcsstk23,OK,29737,0.223000,289.485931,284.161806,9.011507,5.324125,0,,
bcsstm13,OK,54380,0.224000,283.736944,279.888630,5.234957,3.848314,0,,
g7jac020,OK,63905,0.218000,285.956621,278.851986,13.778687,7.104635,0,,
lpl1,OK,97633,0.229000,1210.104942,1190.946817,36.553860,19.158125,0,,
net50,OK,151640,0.299000,341.300249,282.439709,92.727423,58.860540,0,,
msc04515,OK,169488,0.220000,284.020901,276.082754,15.133142,7.938147,0,,
tandem_vtx,OK,193422,0.230000,1208.414555,1190.584898,28.457403,17.829657,0,,
delaunay_n17,OK,263620,0.247000,350.787878,288.856030,83.506107,61.931849,0,,
ex9,OK,288450,0.221000,285.376310,276.958227,14.534712,8.418083,0,,
mac_econ_fwd500,OK,298904,0.305000,909.415245,698.906422,337.594032,210.508823,0,,
torso2,OK,466426,0.251000,346.709728,294.410229,252.487659,52.299500,0,,
wiki-Vote,OK,608389,0.257000,1212.837696,1196.033239,26.397705,16.804457,0,,
bcsstk24,OK,703212,0.237000,299.988508,290.015459,21.603823,9.973049,0,,
mc2depi,OK,1048576,0.307000,1275.440216,1068.054914,551.671028,207.385302,0,,
dawson5,OK,1428486,0.267000,348.340511,281.716824,120.064497,66.623688,0,,
struct3,OK,1891920,0.279000,1292.509317,1210.367680,158.500195,82.141638,0,,
g7jac140sc,OK,3863178,0.342000,354.559422,282.698393,152.215004,71.861029,0,,
nemeth16,OK,4161903,0.296000,343.584061,303.050995,66.025734,40.533066,0,,
webbase-1M,OK,6106033,0.394000,632.423639,304.531813,788.704395,327.891827,0,,
pli,OK,6162461,0.395000,387.345791,292.498827,134.230375,94.846964,0,,
Freescale1,OK,7502150,0.736000,1704.324722,376.837492,5945.836544,1327.487230,0,,
web-NotreDame,OK,8910005,0.395000,994.042158,835.602522,356.805801,158.439636,0,,
cage14,OK,9610982,1.448000,2749.616623,381.668329,7780.694485,2367.948294,0,,
pcrystk03,OK,9821374,0.460000,1014.173031,902.352095,172.204971,111.820936,0,,
pkustk06,OK,12965280,0.501000,445.060492,294.263124,261.510849,150.797367,0,,
bcsstk30,OK,15073574,0.514000,1047.335386,912.394047,201.590300,134.941339,0,,
cant,OK,18370150,0.745000,1498.728752,1164.797306,474.188089,333.931446,0,,
consph,OK,34125815,1.058000,1192.868233,744.914532,727.959871,447.953701,0,,
pdb1HYS,OK,48319315,1.227000,1392.622948,1074.697256,514.630318,317.925692,0,,
pwtk,OK,56997681,1.380000,1173.117876,332.466602,1528.992891,840.651274,0,,
F1,OK,189516446,4.079000,3482.795954,986.242771,3647.719383,2496.553183,0,,
eu-2005,OK,202170577,3.672000,4638.083935,1239.251852,5132.484674,3398.832083,0,,
Si41Ge41H72,OK,573035723,8.245000,1941.541910,540.489197,1872.585058,1401.052713,0,,
Ga41As41H72,OK,574004800,8.344000,2105.059624,385.672569,2334.952593,1719.387054,0,,
