Dataset,Status,Triangles,Kernel_ms,E2E_after_clean_ms,Wall_ms,Cleaning_ms,Build_ms,Retcode,Reason,Log
shyy41,OK,3040,10.756000,1226.756334,1226.756334,7.867813,0.000000,0,,
spaceStation_13,OK,9149,0.211000,274.159431,274.159431,5.835772,0.000000,0,,
bcsstk23,OK,29737,0.346000,275.787592,275.787592,8.421183,0.000000,0,,
bcsstm13,OK,54380,0.200000,276.244640,276.244640,4.846096,0.000000,0,,
g7jac020,OK,63905,0.596000,1182.325125,1182.325125,13.500214,0.000000,0,,
lpl1,OK,97633,2.111000,301.288605,301.288605,37.566185,0.000000,0,,
net50,OK,151640,6.988000,315.248966,315.248966,91.936350,0.000000,0,,
msc04515,OK,169488,0.704000,281.836748,281.836748,14.641285,0.000000,0,,
tandem_vtx,OK,193422,1.734000,1179.253817,1179.253817,27.762175,0.000000,0,,
delaunay_n17,OK,263620,5.514000,308.240175,308.240175,84.075689,0.000000,0,,
ex9,OK,288450,0.745000,277.081013,277.081013,14.310360,0.000000,0,,
mac_econ_fwd500,OK,298904,16.792000,1017.621279,1017.621279,344.088793,0.000000,0,,
torso2,OK,466426,6.987000,317.428112,317.428112,251.729488,0.000000,0,,
wiki-Vote,OK,608298,1.942000,1204.474926,1204.474926,26.590109,0.000000,0,,
bcsstk24,OK,703212,1.145000,294.811726,294.811726,22.493601,0.000000,0,,
mc2depi,OK,1048576,23.154000,1358.830214,1358.830214,548.146248,0.000000,0,,
dawson5,OK,1428486,6.899000,321.226597,321.226597,119.618893,0.000000,0,,
struct3,OK,1891920,8.360000,1187.755108,1187.755108,121.666670,0.000000,0,,
g7jac140sc,OK,3863178,7.940000,331.943512,331.943512,152.632475,0.000000,0,,
nemeth16,OK,4161903,3.854000,304.448128,304.448128,67.242146,0.000000,0,,
webbase-1M,OK,6096372,81.843000,943.036795,943.036795,794.539452,0.000000,0,,
pli,OK,6162461,10.866000,1197.520971,1197.520971,136.599779,0.000000,0,,
Freescale1,OK,7502150,156.966000,1898.006916,1898.006916,5947.823524,0.000000,0,,
web-NotreDame,OK,8908470,24.601000,432.368755,432.368755,357.556105,0.000000,0,,
cage14,OK,9610982,203.925000,3136.276245,3136.276245,7775.421381,0.000000,0,,
pcrystk03,OK,9821374,14.292000,374.104977,374.104977,173.794270,0.000000,0,,
pkustk06,OK,12965280,18.817000,1280.676842,1280.676842,260.027647,0.000000,0,,
bcsstk30,OK,15073574,15.038000,374.843359,374.843359,200.672865,0.000000,0,,
cant,OK,18369839,27.762000,1161.690474,1161.690474,472.173214,0.000000,0,,
consph,OK,34125688,44.599000,1311.980724,1311.980724,726.520061,0.000000,0,,
pdb1HYS,OK,48318694,33.239000,1366.856337,1366.856337,511.858463,0.000000,0,,
pwtk,OK,56997635,81.245000,792.575598,792.575598,1520.146608,0.000000,0,,
F1,OK,189512072,229.559000,1656.127691,1656.127691,3639.163971,0.000000,0,,
eu-2005,OK,202012102,1602.123000,9002.253056,9002.253056,5135.605812,0.000000,0,,
Si41Ge41H72,OK,571723291,163.054000,1431.411505,1431.411505,1845.376968,0.000000,0,,
Ga41As41H72,OK,572921351,184.922000,1572.397470,1572.397470,2336.394787,0.000000,0,,
