Dataset,Status,Triangles,Kernel_ms,E2E_after_clean_ms,Wall_ms,Cleaning_ms,Build_ms,Retcode,Reason,Log
shyy41,OK,3040,0.261000,1868.537903,1865.624666,8.564711,2.913237,0,,
spaceStation_13,OK,9149,0.193000,1241.026163,1238.144159,6.018162,2.882004,0,,
bcsstk23,OK,29737,0.127000,320.740938,317.473650,9.649992,3.267288,0,,
bcsstm13,OK,54380,0.234000,320.648432,317.746639,5.258799,2.901793,0,,
g7jac020,OK,63905,0.176000,354.045630,351.001501,14.793873,3.044128,0,,
lpl1,OK,97633,0.608000,1164.689779,1154.411793,37.655354,10.277987,0,,
net50,OK,151640,11.518000,413.221598,396.933794,92.652559,16.287804,0,,
msc04515,OK,169488,0.145000,1212.269306,1208.048105,14.386177,4.221201,0,,
tandem_vtx,OK,193422,0.384000,334.861994,326.418877,28.511047,8.443117,0,,
delaunay_n17,OK,263620,1.623000,367.714643,340.173483,82.012177,27.541161,0,,
ex9,OK,288450,0.142000,1225.209475,1221.179724,13.816357,4.029751,0,,
mac_econ_fwd500,OK,298904,1.288000,443.608284,378.826618,347.963572,64.781666,0,,
torso2,OK,466426,0.899000,1111.177206,1085.119486,252.851725,26.057720,0,,
wiki-Vote,OK,608389,0.167000,331.646681,325.380802,26.891232,6.265879,0,,
bcsstk24,OK,703212,0.142000,322.640896,316.732168,22.112131,5.908728,0,,
mc2depi,OK,1048576,1.750000,788.238764,647.313118,549.700499,140.925646,0,,
dawson5,OK,1428486,0.635000,358.435392,337.055445,121.025562,21.379948,0,,
struct3,OK,1891920,0.627000,1295.447350,1270.643950,125.113726,24.803400,0,,
g7jac140sc,OK,3863178,0.530000,363.012314,341.843128,152.233362,21.169186,0,,
nemeth16,OK,4161903,0.292000,1225.113153,1210.291624,68.729162,14.821529,0,,
webbase-1M,OK,6106033,1.646000,1443.063259,1341.062307,803.683996,102.000952,0,,
pli,OK,6162461,0.611000,374.211073,349.044085,136.370659,25.166988,0,,
Freescale1,OK,7502150,49.713000,3078.805447,2242.362499,5958.035469,836.442947,0,,
web-NotreDame,OK,8910005,3.456000,438.366413,380.427361,361.647129,57.939053,0,,
cage14,OK,9610982,7.964000,2143.835783,1286.289454,7717.949629,857.546329,0,,
pcrystk03,OK,9821374,0.776000,1086.893559,1057.149649,173.902512,29.743910,0,,
pkustk06,OK,12965280,0.994000,423.243046,375.172853,267.169714,48.070192,0,,
bcsstk30,OK,15073574,0.814000,1091.980934,1056.430817,199.980497,35.550117,0,,
cant,OK,18370150,1.407000,1412.997484,1336.786985,481.790543,76.210499,0,,
consph,OK,34125815,2.219000,1457.146406,1314.970255,730.266809,142.176151,0,,
pdb1HYS,OK,48319315,1.863000,1399.777651,1329.654932,511.632681,70.122719,0,,
pwtk,OK,56997681,3.807000,946.676254,693.028212,1538.864374,253.648043,0,,
F1,OK,189516446,8.823000,2234.157562,1696.744919,3619.559050,537.412643,0,,
eu-2005,OK,202170577,12.530000,3409.611702,2544.251919,5404.697418,865.359783,0,,
Si41Ge41H72,OK,573035723,9.748000,1061.043739,760.391712,1877.921581,300.652027,0,,
Ga41As41H72,OK,574004800,10.625000,1362.688541,985.745668,2347.587109,376.942873,0,,
