Dataset,Status,Triangles,Kernel_ms,E2E_after_clean_ms,Wall_ms,Cleaning_ms,Build_ms,Retcode,Reason,Log
shyy41,OK,3040,0.043000,1937.248230,1932.433605,7.824898,4.814625,0,,
spaceStation_13,OK,9149,0.046000,286.226273,281.375885,5.262375,4.850388,0,,
bcsstk23,OK,29737,0.046000,290.286541,284.079790,8.026361,6.206751,0,,
bcsstm13,OK,54380,0.050000,285.829306,281.797886,5.469561,4.031420,0,,
g7jac020,OK,63905,0.050000,1219.665527,1209.709167,13.733625,9.956360,0,,
lpl1,OK,97633,0.056000,316.787481,282.963514,37.173033,33.823967,0,,
net50,OK,151640,0.168000,380.325317,294.359922,91.952085,85.965395,0,,
msc04515,OK,169488,0.050000,1224.864960,1212.831020,14.504194,12.033939,0,,
tandem_vtx,OK,193422,0.054000,310.097933,283.988476,28.166056,26.109457,0,,
delaunay_n17,OK,263620,0.059000,373.570442,293.841839,80.972195,79.728603,0,,
ex9,OK,288450,0.049000,1204.873085,1192.393780,14.626980,12.479305,0,,
mac_econ_fwd500,OK,298904,0.120000,636.967421,313.007355,339.646101,323.960066,0,,
torso2,OK,466426,0.064000,954.169512,842.215300,253.113270,111.954212,0,,
wiki-Vote,OK,608389,1.079000,312.731504,289.675474,26.339769,23.056030,0,,
bcsstk24,OK,703212,0.066000,296.966314,279.455423,21.318913,17.510891,0,,
mc2depi,OK,1048576,0.100000,805.326223,325.275421,547.819138,480.050802,0,,
dawson5,OK,1428486,0.084000,409.705162,290.544271,121.491432,119.160891,0,,
struct3,OK,1891920,0.101000,1222.991467,1075.353622,122.138500,147.637844,0,,
g7jac140sc,OK,3863178,0.196000,403.778076,292.807817,151.184320,110.970259,0,,
nemeth16,OK,4161903,0.114000,1286.113024,1212.233543,67.053795,73.879480,0,,
webbase-1M,OK,6106033,0.318000,1394.917488,985.279560,795.436144,409.637928,0,,
pli,OK,6162461,0.220000,458.051920,301.723719,137.426376,156.328201,0,,
Freescale1,OK,7502150,0.783000,3077.755213,673.186064,5922.614574,2404.569149,0,,
web-NotreDame,OK,8910005,0.234000,1461.194038,1234.903097,355.829239,226.290941,0,,
cage14,OK,9610982,2.689000,6091.593027,1463.767052,7748.870134,4627.825975,0,,
pcrystk03,OK,9821374,0.258000,500.910282,301.845312,172.789335,199.064970,0,,
pkustk06,OK,12965280,0.332000,1056.111813,766.506433,264.678478,289.605379,0,,
bcsstk30,OK,15073574,0.276000,542.354107,302.480221,201.860189,239.873886,0,,
cant,OK,18370150,0.525000,873.844147,324.947596,483.880997,548.896551,0,,
consph,OK,34125815,0.875000,1095.761776,413.446665,727.788448,682.315111,0,,
pdb1HYS,OK,48319315,0.936000,1413.498640,871.253490,515.986919,542.245150,0,,
pwtk,OK,56997681,1.437000,2392.774820,620.916367,1515.846968,1771.858454,0,,
F1,OK,189516446,6.490000,4648.766041,574.140787,3675.201654,4074.625254,0,,
eu-2005,OK,202170577,5.947000,6064.353704,1130.924463,5132.595301,4933.429241,0,,
Si41Ge41H72,OK,573035723,9.487000,3921.455860,1181.840897,1863.803387,2739.614964,0,,
Ga41As41H72,OK,574004800,11.012000,4038.545132,534.367561,2333.918095,3504.177570,0,,
