Dataset,Status,Triangles,Kernel_ms,E2E_after_clean_ms,Wall_ms,Cleaning_ms,Build_ms,Retcode,Reason,Log
shyy41,OK,3040,0.135000,1444.990873,1433.941603,38.718939,11.049271,0,,
spaceStation_13,OK,9149,0.130000,733.234406,724.833250,29.805422,8.401155,0,,
bcsstk23,OK,29737,0.145000,1494.697571,1483.229160,54.547548,11.468410,0,,
bcsstm13,OK,54380,0.154000,1618.976355,1612.293482,28.203011,6.682873,0,,
g7jac020,OK,63905,0.165000,1644.214630,1626.874924,94.740391,17.339706,0,,
lpl1,OK,97633,0.199000,1686.219692,1609.590769,350.569010,76.628923,0,,
net50,OK,151640,0.242000,1388.708115,1288.812637,912.740707,99.895477,0,,
msc04515,OK,169488,0.186000,1649.507523,1631.541252,111.143827,17.966270,0,,
tandem_vtx,OK,193422,0.219000,1640.562534,1589.874268,265.217781,50.688267,0,,
delaunay_n17,OK,263620,0.245000,1518.103361,1249.636650,770.588160,268.466711,0,,
ex9,OK,288450,0.171000,1659.900188,1643.804312,110.258579,16.095877,0,,
mac_econ_fwd500,OK,298904,0.413000,1659.513474,1038.074493,2767.472506,621.438980,0,,
torso2,OK,466426,0.333000,1858.767509,1591.815472,1635.700226,266.952038,0,,
wiki-Vote,OK,608389,0.192000,1672.171354,1643.100262,196.203709,29.071093,0,,
bcsstk24,OK,703212,0.194000,764.405012,745.106220,172.966957,19.298792,0,,
mc2depi,OK,1048576,0.527000,2521.856546,1244.842052,4880.089998,1277.014494,0,,
dawson5,OK,1428486,0.464000,907.443523,731.077671,1119.140387,176.365852,0,,
struct3,OK,1891920,0.495000,916.659117,726.518154,1182.945490,190.140963,0,,
g7jac140sc,OK,3863178,0.495000,888.002634,737.251043,1162.221670,150.751591,0,,
nemeth16,OK,4161903,0.285000,1041.201830,979.121208,617.636204,62.080622,0,,
webbase-1M,OK,6106033,0.676000,4172.362804,1648.125648,5108.645916,2524.237156,0,,
pli,OK,6162461,0.579000,1196.507454,1051.044464,1299.036741,145.462990,0,,
Freescale1,OK,7502150,3.202000,13509.640217,825.388908,33582.421541,12684.251308,0,,
web-NotreDame,OK,8910005,0.693000,1533.361435,792.809010,2446.666241,740.552425,0,,
cage14,OK,9610982,3.509000,8958.903790,890.784502,41480.317354,8068.119287,0,,
pcrystk03,OK,9821374,0.633000,1635.825157,1452.528477,1692.145348,183.296680,0,,
pkustk06,OK,12965280,0.734000,1697.776556,1409.396172,2492.412806,288.380384,0,,
bcsstk30,OK,15073574,0.663000,1625.409842,1409.202337,1968.595743,216.207504,0,,
cant,OK,18370150,1.002000,1732.831478,1275.235176,4220.347166,457.596302,0,,
consph,OK,34125815,1.302000,1756.700516,1101.958990,6322.931290,654.741526,0,,
pdb1HYS,OK,48319315,1.682000,1334.337473,916.232109,4510.893583,418.105364,0,,
pwtk,OK,56997681,1.466000,2807.975769,1343.951702,12444.182634,1464.024067,0,,
F1,OK,189516446,4.405000,4911.743164,1144.862890,28499.185801,3766.880274,0,,
eu-2005,OK,202170577,4.004000,6960.000753,1143.687010,34072.439909,5816.313744,0,,
Si41Ge41H72,OK,573035723,5.183000,3173.352003,1371.725082,15826.909304,1801.626921,0,,
Ga41As41H72,OK,574004800,5.443000,3707.493782,1288.718462,19675.659180,2418.775320,0,,
