Dataset,Status,Triangles,Kernel_ms,E2E_after_clean_ms,Wall_ms,Cleaning_ms,Build_ms,Retcode,Reason,Log
shyy41,OK,3040,0.027648,17.508927,376.116991,,,0,,
spaceStation_13,OK,9149,0.032768,2.632480,1294.085979,,,0,,
bcsstk23,OK,29737,0.030720,17.447103,378.797770,,,0,,
bcsstm13,OK,54380,0.033792,13.633984,375.891447,,,0,,
g7jac020,OK,63905,0.062464,17.656993,1249.654770,,,0,,
lpl1,OK,97633,0.098304,20.047807,405.181170,,,0,,
net50,OK,151640,0.046080,14.001600,440.792561,,,0,,
msc04515,OK,169488,0.028672,10.517440,1302.701473,,,0,,
tandem_vtx,OK,193422,0.090112,18.712129,397.583723,,,0,,
delaunay_n17,OK,263620,0.147456,21.501889,405.176640,,,0,,
ex9,OK,288450,0.026624,14.173920,1236.887693,,,0,,
mac_econ_fwd500,OK,298904,0.878592,36.840128,782.184124,,,0,,
torso2,OK,466426,0.107520,26.512417,1279.850960,,,0,,
wiki-Vote,OK,608389,0.798720,24.402495,392.142534,,,0,,
bcsstk24,OK,703210,0.028672,17.802976,376.688719,,,0,,
mc2depi,OK,1048576,0.136192,18.785696,1222.742319,,,0,,
dawson5,OK,1428486,0.099328,9.030880,537.151337,,,0,,
struct3,OK,1891920,0.071680,22.708641,1404.076576,,,0,,
g7jac140sc,OK,3863178,1.594368,18.389664,521.847248,,,0,,
nemeth16,OK,4162145,0.033792,20.052800,1395.191669,,,0,,
webbase-1M,OK,6106048,0.473088,35.097631,2168.113470,,,0,,
pli,OK,6162461,0.106496,23.829825,482.375145,,,0,,
Freescale1,OK,7502150,1.917952,94.287296,7594.592810,,,0,,
web-NotreDame,OK,8910060,0.290816,28.858529,593.995571,,,0,,
cage14,OK,9610982,5.386240,114.131199,9344.065905,,,0,,
pcrystk03,OK,9821374,0.087040,24.181664,513.355970,,,0,,
pkustk06,OK,12965280,0.167936,24.215936,1273.044825,,,0,,
bcsstk30,OK,15073591,0.089088,22.855456,540.421486,,,0,,
cant,OK,18370150,0.144384,30.894912,1433.930874,,,0,,
consph,OK,34126261,0.334848,39.383104,1990.742922,,,0,,
pdb1HYS,OK,48319190,0.144384,30.267936,1921.714067,,,0,,
pwtk,OK,56997597,0.216064,44.212065,2336.371660,,,0,,
F1,OK,189516456,4.043776,77.540867,5608.868361,,,0,,
eu-2005,OK,199479961,8.434688,130.787552,3950.087309,,,0,,
Si41Ge41H72,OK,573035128,6.011904,74.662846,3811.565876,,,0,,
Ga41As41H72,OK,574003430,7.185408,79.847776,4001.235723,,,0,,
