Dataset,Status,Triangles,Kernel_ms,E2E_after_clean_ms,Wall_ms,Cleaning_ms,Build_ms,Retcode,Reason,Log
shyy41,OK,3040,1.184000,1874.624729,1871.643305,8.271933,2.981424,0,,
spaceStation_13,OK,9149,1.182000,328.177691,325.464249,5.445480,2.713442,0,,
bcsstk23,OK,29737,1.182000,330.984116,327.014685,8.938313,3.969431,0,,
bcsstm13,OK,54380,1.178000,348.709106,345.279932,5.873203,3.429174,0,,
g7jac020,OK,63905,1.181000,1191.460848,1187.234640,13.659000,4.226208,0,,
lpl1,OK,97633,1.199000,337.898254,327.205896,37.022114,10.692358,0,,
net50,OK,151640,1.255000,1243.228436,1227.101803,91.968536,16.126633,0,,
msc04515,OK,169488,1.186000,340.810061,335.930347,15.326977,4.879713,0,,
tandem_vtx,OK,193422,1.200000,340.237856,331.290960,28.726339,8.946896,0,,
delaunay_n17,OK,263620,1.265000,1278.328896,1250.694990,81.182003,27.633905,0,,
ex9,OK,288450,1.186000,328.829050,324.127913,14.956951,4.701138,0,,
mac_econ_fwd500,OK,298904,1.378000,1323.313951,1259.907484,340.008736,63.406467,0,,
torso2,OK,466426,1.301000,366.655588,341.533899,253.941536,25.121689,0,,
wiki-Vote,OK,608389,1.215000,362.774849,355.867624,26.789904,6.907225,0,,
bcsstk24,OK,703212,1.194000,1170.094967,1164.803267,21.813631,5.291700,0,,
mc2depi,OK,1048576,1.625000,1408.375025,1298.445225,546.938658,109.929800,0,,
dawson5,OK,1428486,1.307000,361.287117,338.968754,118.806839,22.318363,0,,
struct3,OK,1891920,1.282000,1280.731201,1255.618334,122.837782,25.112867,0,,
g7jac140sc,OK,3863178,1.362000,361.603022,341.481209,151.432276,20.121813,0,,
nemeth16,OK,4161903,1.271000,345.202446,333.558798,66.886663,11.643648,0,,
webbase-1M,OK,6106033,1.627000,524.910212,421.235800,791.587830,103.674412,0,,
pli,OK,6162461,1.353000,360.865593,338.254690,135.333538,22.610903,0,,
Freescale1,OK,7502150,3.854000,1485.955715,655.741930,5942.373276,830.213785,0,,
web-NotreDame,OK,8910005,1.364000,1348.856211,1293.243647,361.667871,55.612564,0,,
cage14,OK,9610982,6.352000,2349.600554,1487.134457,7753.652096,862.466097,0,,
pcrystk03,OK,9821374,1.464000,377.426147,348.442316,175.275087,28.983831,0,,
pkustk06,OK,12965280,1.442000,1061.109304,1019.058466,261.800289,42.050838,0,,
bcsstk30,OK,15073574,1.483000,383.014202,347.177982,201.795816,35.836220,0,,
cant,OK,18370150,1.685000,906.511784,832.739830,476.971626,73.771954,0,,
consph,OK,34125815,2.455000,1238.105774,1126.713037,722.852945,111.392736,0,,
pdb1HYS,OK,48319315,2.103000,1373.267412,1305.377960,512.654066,67.889452,0,,
pwtk,OK,56997681,3.134000,697.428226,452.922344,1519.950151,244.505882,0,,
F1,OK,189516446,7.754000,1970.928431,1427.297592,3623.041153,543.630838,0,,
eu-2005,OK,202170577,8.137000,1377.501249,632.178068,5227.493286,745.323181,0,,
Si41Ge41H72,OK,573035723,10.580000,1447.407484,1148.113489,1874.190092,299.293995,0,,
Ga41As41H72,OK,574004800,11.108000,1574.399948,1190.140247,2343.969107,384.259701,0,,
