Dataset,Triangles,Preprocess_ms,Convert_ms,Kernel_ms,Total_ms
adder_dcop_30,6646,0.286656,0.341408,0.067808,.695872
bcsstk23,29737,0.299040,0.353376,0.023744,.676160
bcsstk24,703212,0.388576,0.339808,0.031904,.760288
bcsstk30,15073574,0.935104,0.578720,0.035104,1.548928
bcsstm13,54380,0.280576,0.340576,0.031872,.653024
cage14,9610982,15.154528,2.424672,0.871680,18.450880
cant,18370150,1.305472,0.649568,0.036864,1.991904
circuit_3,12508,0.287168,0.361984,0.109440,.758592
com-Youtube,3056386,2.635360,1.019520,3.881664,7.536544
consph,34125815,2.645088,0.778816,0.071040,3.494944
dawson5,1428486,0.724032,0.537504,0.037472,1.299008
delaunay_n17,263620,0.738208,0.591840,0.046912,1.376960
eu-2005,202170577,10.691200,2.942944,3.438400,17.072544
ex9,288450,0.386720,0.340096,0.023808,.750624
F1,189516446,13.734016,2.470144,0.686816,16.890976
flickr,172005468,5.028384,1.616160,34.326336,40.970880
Freescale1,7502150,7.972672,1.422208,0.497792,9.892672
g7jac020,63905,0.289152,0.341504,0.048416,.679072
g7jac140sc,3863178,0.690976,0.598560,0.267360,1.556896
Ga41As41H72,574004800,9.567968,1.508064,0.820736,11.896768
Hamrle3,81,2.353600,1.014816,0.219680,3.588096
higgs-twitter,83023401,7.576608,3.066176,43.283295,53.926079
hollywood-2009,4916374555,62.013889,11.195680,177.674301,250.883870
lpl1,97633,0.515616,0.509440,0.122752,1.147808
mac_econ_fwd500,298904,0.804640,0.622688,0.118688,1.546016
mc2depi,1048576,0.866272,0.622656,0.070016,1.558944
msc04515,169488,0.406816,0.349600,0.024192,.780608
nemeth16,4161903,0.705472,0.549472,0.021792,1.276736
net50,151640,0.737600,0.567616,0.058144,1.363360
p2p-Gnutella06,1142,0.306848,0.418176,0.059808,.784832
patents_main,97026,0.698592,0.710368,0.465088,1.874048
pcrystk03,9821374,0.905056,0.584512,0.032928,1.522496
pdb1HYS,48319315,1.556288,0.671232,0.046752,2.274272
pkustk06,12965280,1.037056,0.591136,0.059296,1.687488
pli,6162461,0.825568,0.562752,0.038720,1.427040
pwtk,56997681,5.751744,1.004896,0.059168,6.815808
road_usa,438804,30.378496,6.376960,4.649248,41.404704
shyy41,3040,0.290528,0.351936,0.020128,.662592
Si41Ge41H72,573035723,7.455712,1.252864,0.640960,9.349536
soc-Slashdot0811,551724,0.736352,0.682816,0.920256,2.339424
spaceStation_13,9149,0.286688,0.343136,0.024544,.654368
struct3,1891920,0.779552,0.557216,0.033472,1.370240
tandem_vtx,193422,0.481728,0.424544,0.044672,.950944
torso2,466426,0.739936,0.546720,0.035456,1.322112
webbase-1M,6106033,1.012320,0.699104,0.180352,1.891776
web-Google,13391903,2.082784,1.517984,12.977472,16.578240
web-NotreDame,8910005,0.841216,0.607072,0.095104,1.543392
wiki-Vote,608389,0.365248,0.399584,0.167168,.932000
