dataset,input_file,block,num_blocks,bytes_total,time_ms,triangles,status
F1,data/F1.mtx,8x128,623224,82437476,6.363400,189516446,PASS
F1,data/F1.mtx,16x128,458197,119217180,4.349800,189516446,PASS
F1,data/F1.mtx,16x256,422112,217895752,7.851800,189516446,PASS
Freescale1,data/Freescale1.mtx,8x128,1069343,142867668,4.016300,7502150,PASS
Freescale1,data/Freescale1.mtx,16x128,647988,169334084,2.355100,7502150,PASS
Freescale1,data/Freescale1.mtx,16x256,592537,306606296,4.688700,7502150,PASS
Ga41As41H72,data/Ga41As41H72.mtx,8x128,426846,56477732,5.766900,574004800,PASS
Ga41As41H72,data/Ga41As41H72.mtx,16x128,245733,63957616,2.714600,574004800,PASS
Ga41As41H72,data/Ga41As41H72.mtx,16x256,179246,92557972,3.686400,574004800,PASS
Si41Ge41H72,data/Si41Ge41H72.mtx,8x128,290812,38480016,3.638200,573035723,PASS
Si41Ge41H72,data/Si41Ge41H72.mtx,16x128,160378,41744704,1.701800,573035723,PASS
Si41Ge41H72,data/Si41Ge41H72.mtx,16x256,118367,61123796,2.384900,573035723,PASS
bcsstk23,data/bcsstk23.mtx,8x128,987,131864,0.025700,29737,PASS
bcsstk23,data/bcsstk23.mtx,16x128,520,135996,0.022000,29737,PASS
bcsstk23,data/bcsstk23.mtx,16x256,422,218548,0.039000,29737,PASS
bcsstk24,data/bcsstk24.mtx,8x128,1014,135644,0.032600,703212,PASS
bcsstk24,data/bcsstk24.mtx,16x128,560,146504,0.024300,703212,PASS
bcsstk24,data/bcsstk24.mtx,16x256,446,231040,0.042300,703212,PASS
bcsstk30,data/bcsstk30.mtx,8x128,9687,1293160,0.055300,15073574,PASS
bcsstk30,data/bcsstk30.mtx,16x128,5572,1455964,0.037500,15073574,PASS
bcsstk30,data/bcsstk30.mtx,16x256,4245,2197664,0.068600,15073574,PASS
bcsstm13,data/bcsstm13.mtx,8x128,166,22272,0.018700,54380,PASS
