Dataset,Preprocess_ms,Convert_ms,Kernel_ms,E2E_ms,Triangles,Kernel_runs
shyy41,0.4029,0.3689,0.0067,0.477152,3040, 0.006624 0.006656 0.006688 0.006720 0.006784
spaceStation_13,0.3993,0.3632,0.0087,0.515456,9149, 0.007936 0.008608 0.008672 0.008768 0.008960
bcsstk23,0.4016,0.3593,0.0089,0.510912,29737, 0.007744 0.008576 0.008928 0.008992 0.009024
bcsstm13,0.4407,0.3663,0.0091,0.513440,54380, 0.008032 0.008800 0.009056 0.009184 0.009792
g7jac020,1.9110,0.3365,0.0265,0.569184,63905, 0.024864 0.025376 0.026528 0.026976 0.027168
lpl1,2.3700,0.3941,0.0557,0.825120,97633, 0.054880 0.055104 0.055744 0.055776 0.056608
net50,0.8191,0.5659,0.0414,0.911520,151640, 0.040608 0.041184 0.041440 0.041536 0.042368
msc04515,0.4280,0.3653,0.0067,0.476896,169488, 0.006560 0.006688 0.006720 0.006752 0.007072
tandem_vtx,0.5316,0.4222,0.0271,0.656960,193422, 0.025120 0.026176 0.027072 0.027168 0.027296
delaunay_n17,0.7975,0.5773,0.0306,0.877440,263620, 0.029312 0.030304 0.030624 0.031296 0.031360
ex9,0.4057,0.3445,0.0072,0.468064,288450, 0.006688 0.006816 0.007232 0.008768 0.008896
mac_econ_fwd500,0.8467,0.6326,0.1007,1.374848,298904, 0.100448 0.100704 0.100736 0.101760 0.102656
torso2,0.8234,0.5725,0.0221,0.824736,466426, 0.021120 0.021344 0.022080 0.023168 0.023456
wiki-Vote,2.5084,0.4640,0.0560,0.900128,608389, 0.055840 0.055840 0.056000 0.056128 0.056704
bcsstk24,0.4338,0.3614,0.0129,0.527360,703212, 0.012000 0.012256 0.012864 0.012928 0.013056
mc2depi,0.9019,0.6435,0.0496,1.074624,1048576, 0.049440 0.049472 0.049632 0.049632 0.049792
dawson5,0.9560,0.5156,0.0229,0.779488,1428486, 0.022816 0.022912 0.022912 0.023424 0.024832
struct3,0.8073,0.5511,0.0119,0.740608,1891920, 0.011712 0.011904 0.011936 0.012512 0.013024
g7jac140sc,2.7904,0.6233,0.0627,1.126944,3863178, 0.061888 0.062144 0.062688 0.062880 0.063040
nemeth16,0.7474,0.5557,0.0076,0.711616,4161903, 0.005376 0.006464 0.007616 0.007936 0.007936
webbase-1M,1.1623,0.7086,0.1539,1.789280,6106033, 0.152192 0.152992 0.153888 0.154016 0.156288
pli,0.8591,0.5948,0.0229,0.856576,6162461, 0.022016 0.022880 0.022912 0.023840 0.025152
Freescale1,4.8791,1.4244,0.4716,4.517888,7502150, 0.469568 0.470880 0.471616 0.471872 0.474560
web-NotreDame,0.8518,0.6054,0.0813,1.216736,8910005, 0.076832 0.079648 0.081280 0.082048 0.082240
cage14,7.2438,2.3932,0.8143,7.649824,9610982, 0.813408 0.813984 0.814304 0.814368 0.816032
pcrystk03,0.8849,0.5800,0.0165,0.779616,9821374, 0.015808 0.015968 0.016544 0.016608 0.017088
pkustk06,2.9430,0.6261,0.0322,0.942240,12965280, 0.031008 0.032128 0.032192 0.033024 0.033120
bcsstk30,0.8710,0.5892,0.0196,0.815872,15073574, 0.018816 0.019008 0.019552 0.020192 0.020864
cant,1.3044,0.7719,0.0207,1.039392,18370150, 0.020416 0.020704 0.020736 0.020832 0.021376
consph,1.5858,0.8432,0.0457,1.255520,34125815, 0.042880 0.045696 0.045696 0.045728 0.045824
pdb1HYS,1.1540,0.6812,0.0261,0.939040,48319315, 0.025024 0.025056 0.026080 0.026112 0.026272
pwtk,2.7182,1.0604,0.0498,1.500800,56997681, 0.047616 0.047744 0.049792 0.049984 0.050528
F1,13.8367,2.5596,0.4654,5.642560,189516446, 0.464288 0.464480 0.465408 0.465536 0.466976
eu-2005,6.0279,3.4007,2.7056,19.987743,202170577, 2.637088 2.638048 2.705632 2.706400 2.712736
Si41Ge41H72,3.9197,1.3674,0.5903,5.109376,573035723, 0.586208 0.588384 0.590304 0.593152 0.594336
Ga41As41H72,5.1031,1.6737,0.7695,6.549664,574004800, 0.763008 0.769408 0.769472 0.772576 0.781632
