Dataset,Status,Triangles,Kernel_ms,E2E_after_clean_ms,Wall_ms,Cleaning_ms,Build_ms,Retcode,Reason,Log
shyy41,OK,3040,0.025000,0.677632,423.982143,0.799900,,0,,
spaceStation_13,OK,9149,0.026500,0.656096,422.998905,0.758900,,0,,
bcsstk23,OK,29737,0.027700,0.643648,493.618727,0.769700,,0,,
bcsstm13,OK,54380,0.031900,0.707776,423.754692,0.883800,,0,,
g7jac020,OK,63905,0.052700,0.670976,433.121443,2.976400,,0,,
lpl1,OK,97633,0.101600,0.814784,526.364326,4.114000,,0,,
net50,OK,151640,0.075000,1.400256,808.333635,1.945600,,0,,
msc04515,OK,169488,0.025200,0.643520,447.398901,0.754600,,0,,
tandem_vtx,OK,193422,0.096500,0.999616,507.129908,3.793200,,0,,
delaunay_n17,OK,263620,0.139800,1.569216,762.258053,8.180000,,0,,
ex9,OK,288450,0.027300,0.658336,470.556736,0.768800,,0,,
mac_econ_fwd500,OK,298904,0.739700,2.321536,1172.067642,7.895600,,0,,
torso2,OK,466426,0.090800,1.431360,1057.447910,5.408100,,0,,
wiki-Vote,OK,608389,0.102300,0.984960,514.803410,4.013700,,0,,
bcsstk24,OK,703212,0.031600,0.641376,507.195473,0.777900,,0,,
mc2depi,OK,1048576,0.267700,2.095360,1522.357225,9.589000,,0,,
dawson5,OK,1428486,0.105300,1.278656,878.602028,5.723200,,0,,
struct3,OK,1891920,0.074100,1.287840,843.775988,5.201000,,0,,
g7jac140sc,OK,3863178,0.114900,1.449312,777.679205,5.426800,,0,,
nemeth16,OK,4161903,0.030500,1.332768,724.887371,1.933300,,0,,
webbase-1M,OK,6106033,0.554700,2.412448,2120.682716,26.994700,,0,,
pli,OK,6162461,0.054100,1.372256,984.962225,2.002100,,0,,
Freescale1,OK,7502150,1.496700,4.118176,12291.610956,17.922200,,0,,
web-NotreDame,OK,8910005,0.243400,1.860864,1096.521616,12.732600,,0,,
cage14,OK,9610982,13.843800,17.733376,16288.239241,18.160900,,0,,
pcrystk03,OK,9821374,0.042400,1.295776,1147.233963,1.959800,,0,,
pkustk06,OK,12965280,0.063000,1.316064,1451.406717,5.563700,,0,,
bcsstk30,OK,15073574,0.044000,1.318048,1187.341690,1.992200,,0,,
cant,OK,18370150,0.176500,1.659616,2383.603811,6.649200,,0,,
consph,OK,34125815,0.159300,1.660608,3223.993540,7.337800,,0,,
pdb1HYS,OK,48319315,0.141700,1.520576,2493.411779,7.061600,,0,,
pwtk,OK,56997681,0.129200,1.925728,6765.456438,11.140500,,0,,
F1,OK,189516446,0.637900,3.524064,13667.181492,18.110300,,0,,
eu-2005,OK,202170577,3.945900,7.452992,9116.550684,67.716200,,0,,
Si41Ge41H72,OK,573035723,4.319700,6.906528,7657.984495,13.549500,,0,,
Ga41As41H72,OK,574004800,6.557300,9.377216,9649.208307,15.612600,,0,,
