Dataset,Status,Triangles,Kernel_ms,E2E_after_clean_ms,Wall_ms,Cleaning_ms,Build_ms,Retcode,Reason,Log
shyy41,OK,3040,0.027500,0.704544,429.849148,0.812200,,0,,
spaceStation_13,OK,9149,0.037600,0.968512,436.867714,1.131600,,0,,
bcsstk23,OK,29737,0.036500,0.702784,416.320086,0.811200,,0,,
bcsstm13,OK,54380,0.030800,0.708736,409.936428,0.869200,,0,,
g7jac020,OK,63905,0.053300,0.674848,429.039717,3.062000,,0,,
lpl1,OK,97633,0.099700,0.909216,524.885893,4.057600,,0,,
net50,OK,151640,0.072000,1.405632,752.468348,1.810100,,0,,
msc04515,OK,169488,0.026300,0.672800,511.254549,0.789100,,0,,
tandem_vtx,OK,193422,0.053600,0.839392,497.272491,1.051800,,0,,
delaunay_n17,OK,263620,0.066500,1.584512,720.623732,1.866900,,0,,
ex9,OK,288450,0.027900,0.677440,446.178913,0.799700,,0,,
mac_econ_fwd500,OK,298904,0.181200,1.641984,1155.516386,1.792700,,0,,
torso2,OK,466426,0.049700,1.417088,1072.761297,1.906400,,0,,
wiki-Vote,OK,608389,0.100700,1.075488,438.336372,4.067900,,0,,
bcsstk24,OK,703212,0.035400,0.714688,481.822491,0.826500,,0,,
mc2depi,OK,1048576,0.099200,1.835680,1480.751276,2.143500,,0,,
dawson5,OK,1428486,0.062100,1.348928,940.837860,2.467800,,0,,
struct3,OK,1891920,0.037300,1.493664,896.991491,2.044400,,0,,
g7jac140sc,OK,3863178,0.116500,1.645216,713.285685,5.412000,,0,,
nemeth16,OK,4161903,0.027700,1.463648,700.080633,1.940900,,0,,
webbase-1M,OK,6106033,0.254800,2.093088,2063.111782,2.685000,,0,,
pli,OK,6162461,0.048800,1.414240,900.393009,1.937700,,0,,
Freescale1,OK,7502150,0.815700,3.922464,12382.682562,5.982000,,0,,
web-NotreDame,OK,8910005,0.138900,1.676896,1009.594917,1.916600,,0,,
cage14,OK,9610982,1.247600,4.824864,18468.097687,7.897900,,0,,
pcrystk03,OK,9821374,0.042600,1.504160,1149.489403,2.055100,,0,,
pkustk06,OK,12965280,0.065400,1.503840,1501.860142,5.886800,,0,,
bcsstk30,OK,15073574,0.044300,1.521504,1271.351337,2.137900,,0,,
cant,OK,18370150,0.048500,1.815232,2469.492912,2.877300,,0,,
consph,OK,34125815,0.090300,1.927552,3574.054003,3.341600,,0,,
pdb1HYS,OK,48319315,0.051300,1.467200,2395.104170,2.373900,,0,,
pwtk,OK,56997681,0.090800,2.224160,6056.931973,3.977200,,0,,
F1,OK,189516446,0.766000,4.631456,14418.668985,18.325100,,0,,
eu-2005,OK,202170577,4.231900,9.172896,9344.256401,68.322700,,0,,
Si41Ge41H72,OK,573035723,0.968500,3.541440,7945.445776,4.859200,,0,,
Ga41As41H72,OK,574004800,1.243700,4.217664,9514.427900,5.647000,,0,,
