Dataset,Status,Triangles,Kernel_ms,E2E_after_clean_ms,Wall_ms,Cleaning_ms,Build_ms,Retcode,Reason,Log
shyy41,OK,3040,0.045000,1039.560795,1035.134077,7.611990,4.426718,0,,
spaceStation_13,OK,9149,0.056000,365.734339,360.846519,7.936716,4.887819,0,,
bcsstk23,OK,29737,0.056000,358.796835,354.744673,9.083986,4.052162,0,,
bcsstm13,OK,54380,0.081000,365.877151,361.690283,7.645845,4.186869,0,,
g7jac020,OK,63905,0.090000,348.974943,344.330549,15.076160,4.644394,0,,
lpl1,OK,97633,0.188000,364.557743,354.573250,42.474270,9.984493,0,,
net50,OK,151640,0.282000,370.196819,354.520559,87.941408,15.676260,0,,
msc04515,OK,169488,0.067000,356.840849,352.160692,15.810013,4.680157,0,,
tandem_vtx,OK,193422,0.101000,363.598108,355.079174,28.355598,8.518934,0,,
delaunay_n17,OK,263620,0.227000,382.651091,361.354828,78.198433,21.296263,0,,
ex9,OK,288450,0.076000,352.826118,349.814653,16.155243,3.011465,0,,
mac_econ_fwd500,OK,298904,0.737000,429.347992,377.435923,365.972281,51.912069,0,,
torso2,OK,466426,0.248000,392.970800,371.363640,279.190302,21.607161,0,,
wiki-Vote,OK,608389,1.084000,371.201515,363.921881,30.090094,7.279634,0,,
bcsstk24,OK,703212,0.097000,362.036943,354.986668,24.113655,7.050276,0,,
mc2depi,OK,1048576,0.776000,465.795040,384.000778,565.958261,81.794262,0,,
dawson5,OK,1428486,0.272000,394.370317,371.890306,129.585266,22.480011,0,,
struct3,OK,1891920,0.289000,408.951521,387.513161,133.642673,21.438360,0,,
g7jac140sc,OK,3863178,1.280000,396.026373,374.305010,164.268970,21.721363,0,,
nemeth16,OK,4161903,0.251000,377.345324,363.227606,73.284149,14.117718,0,,
webbase-1M,OK,6106033,3.513000,505.602598,416.419983,833.348751,89.182615,0,,
pli,OK,6162461,0.693000,396.790743,371.220112,145.994186,25.570631,0,,
Freescale1,OK,7502150,3.638000,1122.585058,640.466928,5743.384600,482.118130,0,,
web-NotreDame,OK,8910005,2.427000,460.294247,407.552481,380.313396,52.741766,0,,
cage14,OK,9610982,4.950000,1188.970089,653.756142,7192.441940,535.213947,0,,
pcrystk03,OK,9821374,0.647000,403.410673,374.722481,186.656237,28.688192,0,,
pkustk06,OK,12965280,1.335000,420.255899,381.010771,281.595707,39.245129,0,,
bcsstk30,OK,15073574,1.683000,421.964407,389.379978,218.863964,32.584429,0,,
cant,OK,18370150,1.448000,473.200321,407.282829,442.999601,65.917492,0,,
consph,OK,34125815,2.135000,511.190653,421.219349,762.925148,89.971304,0,,
pdb1HYS,OK,48319315,3.506000,471.909761,406.746626,531.347990,65.163136,0,,
pwtk,OK,56997681,2.463000,663.609266,486.478567,1570.765495,177.130699,0,,
F1,OK,189516446,11.238000,1124.739408,728.163481,3672.292948,396.575928,0,,
eu-2005,OK,202170577,584.289000,4160.969973,3621.948719,4680.522442,539.021254,0,,
Si41Ge41H72,OK,573035723,19.407000,815.151453,616.600037,1936.325312,198.551416,0,,
Ga41As41H72,OK,574004800,23.613000,914.110899,670.039415,2293.565273,244.071484,0,,
