Dataset,Status,Triangles,Kernel_ms,E2E_after_clean_ms,Wall_ms,Cleaning_ms,Build_ms,Retcode,Reason,Log
shyy41,OK,3040,0.358000,1861.434698,1857.263327,8.213758,4.171371,0,,
spaceStation_13,OK,9149,0.979000,361.321211,359.862804,6.450415,1.458406,0,,
bcsstk23,OK,29737,1.102000,383.039236,377.722263,10.321140,5.316973,0,,
bcsstm13,OK,54380,0.976000,369.161844,364.109039,6.745577,5.052805,0,,
g7jac020,OK,63905,0.999000,382.592916,377.414703,15.681505,5.178213,0,,
lpl1,OK,97633,1.011000,400.590897,389.082909,41.200399,11.507988,0,,
net50,OK,151640,0.928000,398.657322,382.190704,100.622416,16.466618,0,,
msc04515,OK,169488,0.996000,372.980595,370.146990,15.389442,2.833605,0,,
tandem_vtx,OK,193422,1.013000,393.939734,384.327888,32.426119,9.611845,0,,
delaunay_n17,OK,263620,0.700000,420.066118,395.169735,78.291178,24.896383,0,,
ex9,OK,288450,1.005000,391.285181,384.667635,15.312195,6.617546,0,,
mac_econ_fwd500,OK,298904,1.141000,487.010479,434.479713,365.044355,52.530766,0,,
torso2,OK,466426,0.873000,482.402086,456.320286,243.117571,26.081800,0,,
wiki-Vote,OK,608389,1.023000,401.600838,396.953106,30.582905,4.647732,0,,
bcsstk24,OK,703212,1.008000,385.847569,379.848480,24.624586,5.999088,0,,
mc2depi,CRASH,,,,602.449894,499.710560,92.275143,-11,CRASH(SIGSEGV),/root/btc-tc-verify/results-h100/failures/Fox/mc2depi.log
dawson5,OK,1428486,1.072000,422.211885,401.525736,127.102613,20.686150,0,,
struct3,OK,1891920,1.177000,417.796135,393.121958,116.462231,24.674177,0,,
g7jac140sc,OK,3863178,1.132000,409.249544,391.295433,163.441896,17.954111,0,,
nemeth16,OK,4161903,1.085000,401.175261,391.150475,74.044704,10.024786,0,,
webbase-1M,OK,6106033,1.234000,531.746387,451.737404,830.970764,80.008984,0,,
pli,OK,6162461,1.229000,439.782381,415.078640,147.290707,24.703741,0,,
Freescale1,OK,7502150,1.045000,1097.050428,672.343254,5810.279846,424.707174,0,,
web-NotreDame,OK,8910005,1.139000,454.168081,408.299923,382.674456,45.868158,0,,
cage14,OK,9610982,3.170000,1229.912996,758.391619,6975.620031,471.521378,0,,
pcrystk03,OK,9821374,1.336000,445.967674,418.448687,187.456846,27.518988,0,,
pkustk06,OK,12965280,1.417000,463.518620,425.994396,282.503128,37.524223,0,,
bcsstk30,OK,15073574,1.362000,443.715334,413.425684,216.215849,30.289650,0,,
cant,OK,18370150,1.613000,500.855207,443.569183,503.746510,57.286024,0,,
consph,OK,34125815,2.159000,593.596935,495.680809,755.915642,97.916126,0,,
pdb1HYS,OK,48319315,2.142000,529.865026,462.522745,535.832405,67.342281,0,,
pwtk,OK,56997681,2.964000,777.142286,587.841272,1578.289986,189.301014,0,,
F1,OK,189516446,6.464000,1223.180294,821.779728,3689.144135,401.400566,0,,
eu-2005,OK,202170577,5.184000,1466.537714,932.904720,5128.052950,533.632994,0,,
Si41Ge41H72,OK,573035723,8.639000,884.319067,662.040949,1935.828209,222.278118,0,,
Ga41As41H72,OK,574004800,8.989000,975.724936,707.120895,2404.184818,268.604040,0,,
