Dataset,Status,Triangles,Kernel_ms,E2E_after_clean_ms,Wall_ms,Cleaning_ms,Build_ms,Retcode,Reason,Log
shyy41,OK,3040,0.048000,335.360527,335.360527,8.296967,0.000000,0,,
spaceStation_13,OK,9149,0.038000,346.556187,346.556187,6.352901,0.000000,0,,
bcsstk23,OK,29737,0.045000,325.895309,325.895309,10.506153,0.000000,0,,
bcsstm13,OK,54380,0.047000,336.764812,336.764812,5.917788,0.000000,0,,
g7jac020,OK,63905,0.065000,339.362144,339.362144,14.456987,0.000000,0,,
lpl1,OK,97633,0.153000,363.102913,363.102913,37.390232,0.000000,0,,
net50,OK,151640,0.161000,367.798328,367.798328,88.073730,0.000000,0,,
msc04515,OK,169488,0.052000,340.015173,340.015173,15.892506,0.000000,0,,
tandem_vtx,OK,193422,0.078000,335.000753,335.000753,27.674437,0.000000,0,,
delaunay_n17,OK,263620,0.248000,389.094353,389.094353,77.930927,0.000000,0,,
ex9,OK,288450,0.054000,333.042145,333.042145,14.322042,0.000000,0,,
mac_econ_fwd500,OK,298904,0.541000,472.146749,472.146749,318.460703,0.000000,0,,
torso2,OK,466426,0.266000,383.972645,383.972645,241.358995,0.000000,0,,
wiki-Vote,OK,608389,0.614000,466.943741,466.943741,26.046515,0.000000,0,,
bcsstk24,OK,703212,0.062000,334.909439,334.909439,21.869183,0.000000,0,,
mc2depi,OK,1048576,1.186000,635.169268,635.169268,494.306564,0.000000,0,,
dawson5,OK,1428486,0.200000,370.754957,370.754957,128.979921,0.000000,0,,
struct3,OK,1891920,0.220000,381.137848,381.137848,118.015766,0.000000,0,,
g7jac140sc,OK,3863178,0.268000,382.749557,382.749557,142.442226,0.000000,0,,
nemeth16,OK,4161903,0.138000,354.954481,354.954481,73.432207,0.000000,0,,
webbase-1M,OK,6106033,31.852000,8492.078066,8492.078066,828.961611,0.000000,0,,
pli,OK,6162461,0.307000,418.521881,418.521881,128.260136,0.000000,0,,
Freescale1,OK,7502150,5.761000,1870.438814,1870.438814,5250.779629,0.000000,0,,
web-NotreDame,OK,8910005,58.470000,15303.180456,15303.180456,332.579136,0.000000,0,,
cage14,OK,9610982,4.750000,1644.755602,1644.755602,7463.177204,0.000000,0,,
pcrystk03,OK,9821374,0.369000,425.320387,425.320387,189.544916,0.000000,0,,
pkustk06,OK,12965280,0.482000,447.105408,447.105408,281.706333,0.000000,0,,
bcsstk30,OK,15073574,0.439000,432.219744,432.219744,216.115713,0.000000,0,,
cant,OK,18370150,0.781000,531.639099,531.639099,500.918150,0.000000,0,,
consph,OK,34125815,1.185000,630.028486,630.028486,704.349279,0.000000,0,,
pdb1HYS,OK,48319315,1.049000,589.765310,589.765310,463.029146,0.000000,0,,
pwtk,OK,56997681,2.039000,948.083162,948.083162,1608.338833,0.000000,0,,
F1,OK,189516446,6.105000,1976.296425,1976.296425,3671.459913,0.000000,0,,
eu-2005,OOT,,,,600000.000000,4514.241457,0.000000,,TIMEOUT(600s),/root/btc-tc-verify/results-h100/failures/Green/eu-2005.log
Si41Ge41H72,OK,573035723,5.917000,1899.952412,1899.952412,1701.586485,0.000000,0,,
Ga41As41H72,OK,574004800,6.589000,2070.508242,2070.508242,2118.264675,0.000000,0,,
