Dataset,Status,Triangles,Kernel_ms,E2E_after_clean_ms,Wall_ms,Cleaning_ms,Build_ms,Retcode,Reason,Log
shyy41,OK,3040,51.984000,592.597008,586.870670,8.396626,5.726337,0,,
spaceStation_13,OK,9149,0.291000,323.833227,317.756414,7.134676,6.076813,0,,
bcsstk23,OK,29737,0.313000,324.357033,318.858147,9.944201,5.498886,0,,
bcsstm13,OK,54380,0.296000,319.411516,312.623501,5.798578,6.788015,0,,
g7jac020,OK,63905,0.320000,343.847036,330.302000,14.264822,13.545036,0,,
lpl1,OK,97633,0.328000,366.875410,327.293158,41.534185,39.582253,0,,
net50,OK,151640,0.370000,447.031975,328.902960,100.386143,118.129015,0,,
msc04515,OK,169488,0.314000,345.756531,329.763174,17.030954,15.993357,0,,
tandem_vtx,OK,193422,0.330000,431.348562,394.832850,31.783104,36.515713,0,,
delaunay_n17,OK,263620,0.337000,460.955620,335.766792,89.530706,125.188828,0,,
ex9,OK,288450,0.327000,336.850643,322.518587,16.722202,14.332056,0,,
mac_econ_fwd500,OK,298904,0.374000,710.636139,330.284357,365.968227,380.351782,0,,
torso2,OK,466426,0.337000,444.445848,324.026346,278.908730,120.419502,0,,
wiki-Vote,OK,608389,0.341000,352.764845,321.922541,27.988911,30.842304,0,,
bcsstk24,OK,703212,0.320000,341.256618,322.670221,23.967743,18.586397,0,,
mc2depi,OK,1048576,0.545000,817.754507,348.119974,565.344572,469.634533,0,,
dawson5,OK,1428486,0.347000,454.636097,323.219538,130.218744,131.416559,0,,
struct3,OK,1891920,0.349000,487.139463,327.644110,131.843090,159.495354,0,,
g7jac140sc,OK,3863178,0.396000,473.291397,329.844952,163.417578,143.446445,0,,
nemeth16,OK,4161903,0.361000,408.346891,326.152563,74.538231,82.194328,0,,
webbase-1M,OK,6106033,0.594000,1035.649538,338.156700,829.818249,697.492838,0,,
pli,OK,6162461,0.413000,513.074636,325.976372,145.022869,187.098265,0,,
Freescale1,OK,7502150,0.794000,3061.055899,392.215967,5298.718691,2668.839931,0,,
web-NotreDame,OK,8910005,0.600000,664.156199,330.272436,381.558657,333.883762,0,,
cage14,OK,9610982,1.172000,4100.903034,405.075550,7182.990789,3695.827484,0,,
pcrystk03,OK,9821374,0.474000,526.225567,331.717253,164.197683,194.508314,0,,
pkustk06,OK,12965280,0.453000,626.681805,322.467089,245.684385,304.214716,0,,
bcsstk30,OK,15073574,0.462000,591.297865,326.762199,192.082644,264.535666,0,,
cant,OK,18370150,0.644000,853.523493,338.522196,500.876427,515.001297,0,,
consph,OK,34125815,0.805000,1028.131008,342.959881,658.347368,685.171127,0,,
pdb1HYS,OK,48319315,0.893000,863.725185,340.471745,533.543825,523.253441,0,,
pwtk,OK,56997681,0.997000,1673.550129,381.523848,1490.258455,1292.026281,0,,
F1,OK,189516446,2.699000,3919.012785,394.355774,3211.383343,3524.657011,0,,
eu-2005,OK,202170577,2.471000,4863.653898,416.819811,4510.782957,4446.834087,0,,
Si41Ge41H72,OK,573035723,4.999000,2409.367085,385.375977,1698.764086,2023.991108,0,,
Ga41As41H72,OK,574004800,5.107000,2880.612850,404.213428,2115.450382,2476.399422,0,,
