Dataset,Status,Triangles,Kernel_ms,E2E_after_clean_ms,Wall_ms,Cleaning_ms,Build_ms,Retcode,Reason,Log
shyy41,OK,3040,8.659000,374.354362,374.354362,8.032322,0.000000,0,,
spaceStation_13,OK,9149,0.186000,323.424578,323.424578,7.294416,0.000000,0,,
bcsstk23,OK,29737,0.305000,326.120377,326.120377,9.522676,0.000000,0,,
bcsstm13,OK,54371,0.176000,317.765713,317.765713,6.487370,0.000000,0,,
g7jac020,OK,63905,0.502000,318.123817,318.123817,15.145302,0.000000,0,,
lpl1,OK,97633,1.759000,335.658073,335.658073,38.090229,0.000000,0,,
net50,OK,151640,5.592000,355.096579,355.096579,100.305796,0.000000,0,,
msc04515,OK,169488,0.587000,338.461161,338.461161,15.454531,0.000000,0,,
tandem_vtx,OK,193422,1.440000,327.848673,327.848673,29.445648,0.000000,0,,
delaunay_n17,OK,263620,4.594000,349.678755,349.678755,79.318285,0.000000,0,,
ex9,OK,288423,0.621000,326.680422,326.680422,15.316725,0.000000,0,,
mac_econ_fwd500,OK,298904,13.886000,406.988621,406.988621,365.891457,0.000000,0,,
torso2,OK,466426,5.612000,356.133699,356.133699,244.664669,0.000000,0,,
wiki-Vote,OK,608292,1.550000,330.868721,330.868721,27.492285,0.000000,0,,
bcsstk24,OK,702886,0.951000,331.393242,331.393242,21.963835,0.000000,0,,
mc2depi,OK,1048482,18.011000,435.214758,435.214758,501.407385,0.000000,0,,
dawson5,OK,1428486,5.652000,355.302811,355.302811,113.767624,0.000000,0,,
struct3,OK,1891920,6.791000,357.281446,357.281446,115.078926,0.000000,0,,
g7jac140sc,OK,3863178,6.652000,356.152058,356.152058,143.277884,0.000000,0,,
nemeth16,OK,4161224,3.184000,333.483934,333.483934,64.429760,0.000000,0,,
webbase-1M,OK,6084222,66.702000,682.253599,682.253599,735.008240,0.000000,0,,
pli,OK,6162421,8.867000,381.165504,381.165504,129.801989,0.000000,0,,
Freescale1,OK,7497908,136.493000,1114.200592,1114.200592,5254.290342,0.000000,0,,
web-NotreDame,OK,8907876,20.606000,438.441038,438.441038,335.172176,0.000000,0,,
cage14,OK,9563552,170.886000,1322.418928,1322.418928,6999.063969,0.000000,0,,
pcrystk03,OK,9820888,11.338000,389.387846,389.387846,163.712025,0.000000,0,,
pkustk06,OK,12964513,15.267000,411.787271,411.787271,249.709606,0.000000,0,,
bcsstk30,OK,15073032,12.318000,390.051842,390.051842,189.946175,0.000000,0,,
cant,OK,18367363,22.411000,449.502230,449.502230,435.960531,0.000000,0,,
consph,OK,34112576,36.700000,538.670301,538.670301,661.508322,0.000000,0,,
pdb1HYS,OK,48307227,26.858000,474.964619,474.964619,468.794823,0.000000,0,,
pwtk,OK,56695700,67.347000,728.107691,728.107691,1574.217558,0.000000,0,,
F1,OK,187837403,189.466000,1440.904617,1440.904617,3588.181496,0.000000,0,,
eu-2005,OK,201328461,1266.887000,6843.878508,6843.878508,4759.471416,0.000000,0,,
Si41Ge41H72,OK,571682000,133.928000,1075.080395,1075.080395,1712.431669,0.000000,0,,
Ga41As41H72,OK,572893892,150.762000,1181.263685,1181.263685,2112.314463,0.000000,0,,
