Dataset,Status,Triangles,Kernel_ms,E2E_after_clean_ms,Wall_ms,Cleaning_ms,Build_ms,Retcode,Reason,Log
shyy41,OK,3040,0.187000,988.190889,982.474804,8.995056,5.716085,0,,
spaceStation_13,OK,9149,0.167000,366.073847,362.454653,7.834435,3.619194,0,,
bcsstk23,OK,29737,0.105000,365.258217,360.320807,10.543108,4.937410,0,,
bcsstm13,OK,54380,0.280000,366.796494,365.221739,7.769346,1.574755,0,,
g7jac020,OK,63905,0.138000,364.421606,359.538794,16.651154,4.882812,0,,
lpl1,OK,97633,0.420000,375.441790,364.966393,42.293787,10.475397,0,,
net50,OK,151640,9.267000,437.453508,419.567108,100.461960,17.886400,0,,
msc04515,OK,169488,0.115000,368.505955,362.314463,17.814159,6.191492,0,,
tandem_vtx,OK,193422,0.267000,377.982616,371.511936,32.771111,6.470680,0,,
delaunay_n17,OK,263620,1.043000,390.430927,363.897085,79.677343,26.533842,0,,
ex9,OK,288450,0.100000,379.463673,376.464128,15.830755,2.999544,0,,
mac_econ_fwd500,OK,298904,0.841000,441.562891,384.226561,368.275404,57.336330,0,,
torso2,OK,466426,0.599000,397.783041,372.323036,275.326729,25.460005,0,,
wiki-Vote,OK,608389,0.129000,372.202873,367.675066,29.011488,4.527807,0,,
bcsstk24,OK,703212,0.113000,367.568016,363.542557,23.581505,4.025459,0,,
mc2depi,OK,1048576,1.587000,496.463537,411.587000,566.015720,84.876537,0,,
dawson5,OK,1428486,0.429000,394.461393,374.761581,129.902840,19.699812,0,,
struct3,OK,1891920,0.421000,401.409626,375.598669,118.633747,25.810957,0,,
g7jac140sc,OK,3863178,0.954000,405.637026,384.556293,162.963867,21.080732,0,,
nemeth16,OK,4161903,0.210000,381.317616,367.907524,74.380636,13.410091,0,,
webbase-1M,OK,6106033,1.511000,503.603697,412.928581,830.981016,90.675116,0,,
pli,OK,6162461,0.427000,399.719000,378.505707,146.124363,21.213293,0,,
Freescale1,OK,7502150,36.640000,1200.613976,774.071455,5569.071770,426.542521,0,,
web-NotreDame,OK,8910005,2.639000,442.888737,397.358179,381.008148,45.530558,0,,
cage14,OK,9610982,4.928000,1220.018148,686.088800,7746.153831,533.929348,0,,
pcrystk03,OK,9821374,0.489000,420.375586,388.676882,187.157393,31.698704,0,,
pkustk06,OK,12965280,0.658000,495.943069,451.946497,283.501148,43.996572,0,,
bcsstk30,OK,15073574,0.546000,422.070980,386.973858,216.527462,35.097122,0,,
cant,OK,18370150,1.350000,495.771646,429.442883,505.336046,66.328764,0,,
consph,OK,34125815,2.001000,528.579235,434.519291,754.411936,94.059944,0,,
pdb1HYS,OK,48319315,1.206000,485.273123,419.196367,534.896135,66.076756,0,,
pwtk,OK,56997681,2.428000,673.619032,494.223118,1573.682070,179.395914,0,,
F1,OK,189516446,5.511000,1107.427835,696.793795,3768.386364,410.634041,0,,
eu-2005,OK,202170577,8.332000,1260.848522,792.218447,4760.030746,468.630075,0,,
Si41Ge41H72,OK,573035723,6.194000,793.614388,582.431793,1933.759212,211.182594,0,,
Ga41As41H72,OK,574004800,6.699000,888.213158,637.745380,2366.282225,250.467777,0,,
