Dataset,Status,Triangles,Kernel_ms,E2E_after_clean_ms,Wall_ms,Cleaning_ms,Build_ms,Retcode,Reason,Log
shyy41,OK,3040,0.040000,978.727579,973.330498,9.150743,5.397081,0,,
spaceStation_13,OK,9149,0.045000,317.761660,313.481092,7.762432,4.280567,0,,
bcsstk23,OK,29737,0.045000,323.613405,316.314697,8.851051,7.298708,0,,
bcsstm13,OK,54380,0.050000,335.923195,329.788923,7.053614,6.134272,0,,
g7jac020,OK,63905,0.047000,333.546400,325.125456,15.696287,8.420944,0,,
lpl1,OK,97633,0.053000,349.829674,315.143824,36.617279,34.685850,0,,
net50,OK,151640,0.132000,401.135445,322.299242,87.971687,78.836203,0,,
msc04515,OK,169488,0.048000,336.594582,321.631670,13.192654,14.962912,0,,
tandem_vtx,OK,193422,0.049000,349.507809,325.917721,29.407501,23.590088,0,,
delaunay_n17,OK,263620,0.056000,420.147896,331.778765,77.975273,88.369131,0,,
ex9,OK,288450,0.048000,342.920303,326.870680,16.166925,16.049623,0,,
mac_econ_fwd500,OK,298904,0.096000,691.123486,330.372810,320.931673,360.750675,0,,
torso2,OK,466426,0.054000,448.622465,322.144747,242.433071,126.477718,0,,
wiki-Vote,OK,608389,0.072000,335.148811,314.984560,27.426958,20.164251,0,,
bcsstk24,OK,703212,0.061000,335.068226,317.636251,25.130749,17.431974,0,,
mc2depi,OK,1048576,0.084000,809.118986,351.746798,570.464611,457.372189,0,,
dawson5,OK,1428486,0.073000,458.727598,327.730417,129.314423,130.997181,0,,
struct3,OK,1891920,0.085000,476.846218,330.252171,131.586313,146.594048,0,,
g7jac140sc,OK,3863178,0.163000,436.898232,328.673363,160.310507,108.224869,0,,
nemeth16,OK,4161903,0.093000,404.578686,323.879957,72.687149,80.698729,0,,
webbase-1M,OK,6106033,0.245000,772.132635,354.438782,828.691244,417.693853,0,,
pli,OK,6162461,0.179000,501.459360,328.375816,127.430201,173.083544,0,,
Freescale1,OK,7502150,0.393000,2548.582315,438.871384,5278.106689,2109.710932,0,,
web-NotreDame,OK,8910005,0.179000,560.076475,343.573570,335.173607,216.502905,0,,
cage14,OK,9610982,1.280000,4709.893227,487.400055,7341.022015,4222.493172,0,,
pcrystk03,OK,9821374,0.212000,534.766674,341.595411,166.035414,193.171263,0,,
pkustk06,OK,12965280,0.256000,611.160040,327.220440,281.216860,283.939600,0,,
bcsstk30,OK,15073574,0.213000,597.453356,332.638502,188.950539,264.814854,0,,
cant,OK,18370150,0.409000,897.519350,358.896971,438.647985,538.622379,0,,
consph,OK,34125815,0.602000,1073.915243,369.795799,755.575657,704.119444,0,,
pdb1HYS,OK,48319315,0.699000,917.170525,360.664606,531.914473,556.505919,0,,
pwtk,OK,56997681,0.800000,1763.801575,386.068344,1454.749584,1377.733231,0,,
F1,OK,189516446,3.008000,3519.604445,513.293982,3198.527813,3006.310463,0,,
eu-2005,OK,202170577,2.863000,4213.814974,538.382769,4510.514975,3675.432205,0,,
Si41Ge41H72,OK,573035723,4.876000,2984.791040,446.537971,1936.142921,2538.253069,0,,
Ga41As41H72,OK,574004800,5.286000,3621.761560,475.461006,2377.104998,3146.300554,0,,
