Dataset,Status,Triangles,Kernel_ms,E2E_after_clean_ms,Wall_ms,Cleaning_ms,Build_ms,Retcode,Reason,Log
shyy41,OK,3040,0.140000,919.447899,907.860279,33.591270,11.587620,0,,
spaceStation_13,OK,9149,0.123000,851.603508,841.819763,27.741671,9.783745,0,,
bcsstk23,OK,29737,0.134000,853.909492,839.617968,49.266815,14.291525,0,,
bcsstm13,OK,54380,0.140000,847.426653,839.777708,27.848959,7.648945,0,,
g7jac020,OK,63905,0.144000,858.087301,840.104342,80.151796,17.982960,0,,
lpl1,OK,97633,0.149000,920.888662,839.186192,293.235540,81.702471,0,,
net50,OK,151640,0.181000,935.952902,834.601164,751.050472,101.351738,0,,
msc04515,OK,169488,0.144000,854.529858,833.320856,95.259905,21.209002,0,,
tandem_vtx,OK,193422,0.172000,878.170967,823.412657,222.535372,54.758310,0,,
delaunay_n17,OK,263620,0.211000,1117.846251,840.300560,637.422085,277.545691,0,,
ex9,OK,288450,0.147000,848.680735,831.262589,92.125654,17.418146,0,,
mac_econ_fwd500,OK,298904,0.308000,1452.668667,859.545231,2321.321726,593.123436,0,,
torso2,OK,466426,0.240000,1103.928566,848.178387,1384.100676,255.750179,0,,
wiki-Vote,OK,608389,0.167000,862.242222,832.078934,163.695097,30.163288,0,,
bcsstk24,OK,703212,0.147000,849.677563,826.917648,145.021677,22.759914,0,,
mc2depi,OK,1048576,0.417000,1860.794067,874.704599,3725.063562,986.089468,0,,
dawson5,OK,1428486,0.313000,1041.120052,864.706755,829.719067,176.413298,0,,
struct3,OK,1891920,0.317000,1054.727077,860.208273,879.507542,194.518805,0,,
g7jac140sc,OK,3863178,0.355000,1010.791779,854.099751,880.597353,156.692028,0,,
nemeth16,OK,4161903,0.211000,902.468920,842.227221,506.712198,60.241699,0,,
webbase-1M,OK,6106033,0.419000,2557.945967,872.915506,3807.017565,1685.030460,0,,
pli,OK,6162461,0.331000,1014.556885,859.321594,936.894178,155.235291,0,,
Freescale1,OK,7502150,2.219000,9381.260872,948.282242,24436.610937,8432.978630,0,,
web-NotreDame,OK,8910005,0.432000,1592.832327,876.519442,1949.770689,716.312885,0,,
cage14,OK,9610982,1.479000,6834.070683,945.121288,30224.253654,5888.949394,0,,
pcrystk03,OK,9821374,0.346000,1049.237013,859.892845,1220.331669,189.344168,0,,
pkustk06,OK,12965280,0.381000,1158.595324,866.998434,1963.463783,291.596889,0,,
bcsstk30,OK,15073574,0.343000,1075.324774,876.276493,1559.306860,199.048281,0,,
cant,OK,18370150,0.468000,1282.663822,870.905161,2999.170542,411.758661,0,,
consph,OK,34125815,0.613000,1421.340704,856.577635,4484.015703,564.763069,0,,
pdb1HYS,OK,48319315,0.933000,1257.492781,876.375914,3210.497856,381.116867,0,,
pwtk,OK,56997681,0.665000,2120.437384,887.968779,8848.728657,1232.468605,0,,
F1,OK,189516446,1.700000,3837.243319,916.476727,20221.881628,2920.766592,0,,
eu-2005,OK,202170577,1.810000,5671.949625,903.417349,25005.147457,4768.532276,0,,
Si41Ge41H72,OK,573035723,2.185000,2374.555826,878.961325,11298.242807,1495.594501,0,,
Ga41As41H72,OK,574004800,2.227000,2883.387804,903.160095,14150.725365,1980.227709,0,,
