Dataset,Status,Triangles,Kernel_ms,E2E_after_clean_ms,Wall_ms,Cleaning_ms,Build_ms,Retcode,Reason,Log
shyy41,OK,3040,0.025568,2.497568,416.031361,,,0,,
spaceStation_13,OK,9149,0.027680,2.321056,417.284727,,,0,,
bcsstk23,OK,29737,0.024192,2.601696,429.156065,,,0,,
bcsstm13,OK,54380,0.026304,2.377984,417.442322,,,0,,
g7jac020,OK,63905,0.050464,2.729568,439.254999,,,0,,
lpl1,OK,97633,0.074560,5.361312,582.180262,,,0,,
net50,OK,151640,0.037312,7.070400,817.328691,,,0,,
msc04515,OK,169488,0.025184,3.134784,454.982758,,,0,,
tandem_vtx,OK,193422,0.066624,3.909664,514.401913,,,0,,
delaunay_n17,OK,263620,0.106656,6.010048,763.763428,,,0,,
ex9,OK,288450,0.028608,3.061952,470.402241,,,0,,
mac_econ_fwd500,OK,298904,0.594944,10.130208,1170.193195,,,0,,
torso2,OK,466426,0.080544,6.867840,1087.738276,,,0,,
wiki-Vote,OK,608389,0.558464,7.586048,467.009306,,,0,,
bcsstk24,OK,703210,0.025504,3.320896,484.372139,,,0,,
mc2depi,OK,1048576,0.096896,9.079744,1489.946604,,,0,,
dawson5,OK,1428486,0.074816,5.591008,948.053360,,,0,,
struct3,OK,1891920,0.052832,5.799520,917.863846,,,0,,
g7jac140sc,OK,3863178,1.090656,10.692768,764.183760,,,0,,
nemeth16,OK,4162125,0.027136,4.845088,720.102072,,,0,,
webbase-1M,OK,6106034,0.320512,10.997056,2328.072548,,,0,,
pli,OK,6162461,0.078464,6.682592,994.665623,,,0,,
Freescale1,OK,7502150,1.207040,21.233088,13475.886583,,,0,,
web-NotreDame,OK,8910052,0.203904,10.284448,1112.426043,,,0,,
cage14,OK,9610982,3.538976,39.514656,17261.847258,,,0,,
pcrystk03,OK,9821374,0.064736,5.911840,1084.778547,,,0,,
pkustk06,OK,12965280,0.119520,7.253728,1517.909050,,,0,,
bcsstk30,OK,15073585,0.063296,5.990368,1287.242174,,,0,,
cant,OK,18370150,0.103744,9.010176,2571.698189,,,0,,
consph,OK,34126261,0.233088,10.473600,3565.224171,,,0,,
pdb1HYS,OK,48319268,0.107360,7.861728,2687.801123,,,0,,
pwtk,OK,56997597,0.151232,12.150656,6432.199001,,,0,,
F1,OK,189516436,2.682848,25.519520,13716.037750,,,0,,
eu-2005,OK,199483001,5.679520,65.958624,9748.315811,,,0,,
Si41Ge41H72,OK,573035562,4.061376,23.083232,7907.716751,,,0,,
Ga41As41H72,OK,574003456,4.841600,27.182208,9615.901709,,,0,,
