Dataset,Status,Triangles,Kernel_ms,E2E_after_clean_ms,Wall_ms,Cleaning_ms,Build_ms,Retcode,Reason,Log
shyy41,OK,3040,0.877000,382.835388,378.735065,8.891582,4.100323,0,,
spaceStation_13,OK,9149,0.876000,389.650822,384.631872,6.162882,5.018950,0,,
bcsstk23,OK,29737,0.874000,439.964056,437.784195,9.228945,2.179861,0,,
bcsstm13,OK,54380,0.874000,388.491154,383.528233,6.191015,4.962921,0,,
g7jac020,OK,63905,0.874000,429.662704,424.545765,15.924692,5.116940,0,,
lpl1,OK,97633,0.878000,391.733170,383.375168,42.474747,8.358002,0,,
net50,OK,151640,0.891000,459.940195,441.108465,99.721670,18.831730,0,,
msc04515,OK,169488,0.876000,388.068199,385.010242,16.771078,3.057957,0,,
tandem_vtx,OK,193422,0.880000,384.331703,374.505281,32.377958,9.826422,0,,
delaunay_n17,OK,263620,0.889000,453.442097,429.548502,88.542223,23.893595,0,,
ex9,OK,288450,0.873000,382.449865,377.421141,16.094923,5.028725,0,,
mac_econ_fwd500,OK,298904,0.887000,441.408873,388.420105,361.779928,52.988768,0,,
torso2,OK,466426,0.895000,411.559343,386.482716,278.360844,25.076628,0,,
wiki-Vote,OK,608389,0.879000,391.335964,386.797905,30.498981,4.538059,0,,
bcsstk24,OK,703212,0.878000,379.845858,372.578382,22.477150,7.267475,0,,
mc2depi,OK,1048576,1.078000,489.948750,399.822950,567.446709,90.125799,0,,
dawson5,OK,1428486,0.891000,411.664724,388.118029,129.945278,23.546696,0,,
struct3,OK,1891920,0.889000,396.667004,375.203371,133.494377,21.463633,0,,
g7jac140sc,OK,3863178,0.906000,393.533230,375.580788,160.930634,17.952442,0,,
nemeth16,OK,4161903,0.889000,384.370089,374.344110,72.120905,10.025978,0,,
webbase-1M,OK,6106033,1.088000,486.054659,396.281481,832.655191,89.773178,0,,
pli,OK,6162461,0.919000,402.193069,376.760006,145.923138,25.433064,0,,
Freescale1,OK,7502150,2.213000,929.580688,505.920887,5599.320650,423.659801,0,,
web-NotreDame,OK,8910005,0.912000,509.376287,459.816217,381.152153,49.560070,0,,
cage14,OK,9610982,3.458000,1014.367342,542.295218,7263.822794,472.072124,0,,
pcrystk03,OK,9821374,0.938000,419.170141,387.400150,186.637402,31.769991,0,,
pkustk06,OK,12965280,0.904000,440.721512,397.017241,249.742985,43.704271,0,,
bcsstk30,OK,15073574,0.930000,414.508581,379.961729,188.997507,34.546852,0,,
cant,OK,18370150,0.951000,470.368385,405.055046,497.469425,65.313339,0,,
consph,OK,34125815,1.350000,495.596409,401.435614,665.291786,94.160795,0,,
pdb1HYS,OK,48319315,1.178000,447.090149,387.910128,528.597593,59.180021,0,,
pwtk,OK,56997681,1.651000,628.499746,442.121267,1370.593548,186.378479,0,,
F1,OK,189516446,4.124000,928.171158,519.270658,3533.134937,408.900499,0,,
eu-2005,OK,202170577,4.447000,1053.805828,583.523035,4491.984606,470.282793,0,,
Si41Ge41H72,OK,573035723,5.573000,677.358389,478.098869,1816.392183,199.259520,0,,
Ga41As41H72,OK,574004800,5.850000,730.370283,480.943680,2237.576246,249.426603,0,,
