Dataset,Status,Triangles,Kernel_ms,E2E_after_clean_ms,Wall_ms,Cleaning_ms,Build_ms,Retcode,Reason,Log
shyy41,OK,3040,0.016400,0.388000,234.168053,0.288100,,0,,
spaceStation_13,OK,9149,0.018900,0.376064,232.597351,0.281800,,0,,
bcsstk23,OK,29737,0.019000,0.385856,290.917158,0.287600,,0,,
bcsstm13,OK,54380,0.021600,0.403968,237.182379,0.293300,,0,,
g7jac020,OK,63905,0.047200,0.416672,227.436543,0.294100,,0,,
lpl1,OK,97633,0.119800,0.646112,285.578728,0.509000,,0,,
net50,OK,151640,0.053900,0.651072,382.535696,0.752500,,0,,
msc04515,OK,169488,0.017900,0.388192,242.724657,0.397000,,0,,
tandem_vtx,OK,193422,0.038400,0.484640,269.873381,0.463700,,0,,
delaunay_n17,OK,263620,0.043500,0.662208,360.094309,1.823600,,0,,
ex9,OK,288450,0.020100,0.377280,294.534206,0.386300,,0,,
mac_econ_fwd500,OK,298904,0.113000,0.776128,549.082756,0.821400,,0,,
torso2,OK,466426,0.034800,0.624864,506.391048,0.744600,,0,,
wiki-Vote,OK,608389,0.157300,0.564096,244.576931,0.356800,,0,,
bcsstk24,OK,703212,0.023900,0.388128,251.397133,0.389900,,0,,
mc2depi,OK,1048576,0.061000,0.719904,645.320415,0.871900,,0,,
dawson5,OK,1428486,0.034300,0.596928,431.604624,0.713700,,0,,
struct3,OK,1891920,0.022400,0.591008,463.686228,0.773900,,0,,
g7jac140sc,OK,3863178,0.259200,0.847936,363.530874,0.658500,,0,,
nemeth16,OK,4161903,0.016500,0.573952,345.328808,0.685000,,0,,
webbase-1M,OK,6106033,0.166900,0.879904,989.533663,1.002900,,0,,
pli,OK,6162461,0.034200,0.615904,428.008556,0.815900,,0,,
Freescale1,OK,7502150,0.489300,1.946176,5354.046583,8.372000,,0,,
web-NotreDame,OK,8910005,0.093400,0.714336,543.758392,0.836700,,0,,
cage14,OK,9610982,0.862500,3.325088,6995.253086,16.518200,,0,,
pcrystk03,OK,9821374,0.031800,0.630848,495.063305,0.877100,,0,,
pkustk06,OK,12965280,0.059500,0.701792,635.949373,1.057900,,0,,
bcsstk30,OK,15073574,0.032600,0.628128,598.196030,0.935900,,0,,
cant,OK,18370150,0.034100,0.718016,1022.753477,1.328600,,0,,
consph,OK,34125815,0.058200,0.874720,1474.983692,2.620200,,0,,
pdb1HYS,OK,48319315,0.037800,0.718048,1088.374853,1.542800,,0,,
pwtk,OK,56997681,0.053800,1.068192,2585.291624,5.769400,,0,,
F1,OK,189516446,0.682200,4.310976,5620.737553,19.238700,,0,,
eu-2005,OK,202170577,3.478600,6.462592,3656.397343,10.924300,,0,,
Si41Ge41H72,OK,573035723,0.623600,1.894848,3389.467478,7.443100,,0,,
Ga41As41H72,OK,574004800,0.807100,2.306752,3967.537165,9.541200,,0,,
