Dataset,Status,Triangles,Kernel_ms,E2E_after_clean_ms,Wall_ms,Cleaning_ms,Build_ms,Retcode,Reason,Log
shyy41,OK,3040,0.017900,0.370304,248.337746,0.369200,,0,,
spaceStation_13,OK,9149,0.021700,0.391072,238.235474,0.376700,,0,,
bcsstk23,OK,29737,0.022100,0.388864,283.629417,0.368500,,0,,
bcsstm13,OK,54380,0.020200,0.377952,228.895664,0.394500,,0,,
g7jac020,OK,63905,0.040100,0.396224,228.895664,1.823900,,0,,
lpl1,OK,97633,0.067600,0.495776,238.607407,2.233400,,0,,
net50,OK,151640,0.053000,0.642144,255.445242,0.763800,,0,,
msc04515,OK,169488,0.018200,0.392992,235.708952,0.403700,,0,,
tandem_vtx,OK,193422,0.038700,0.487712,239.797831,0.519800,,0,,
delaunay_n17,OK,263620,0.043600,0.661280,255.231857,0.767500,,0,,
ex9,OK,288450,0.020900,0.392320,284.794569,0.397800,,0,,
mac_econ_fwd500,OK,298904,0.113500,0.789376,438.698053,0.788300,,0,,
torso2,OK,466426,0.033500,0.615616,365.582228,0.763600,,0,,
wiki-Vote,OK,608389,0.069400,0.547168,230.421305,2.397400,,0,,
bcsstk24,OK,703212,0.024300,0.393184,237.719059,0.408200,,0,,
mc2depi,OK,1048576,0.060800,0.788192,387.782812,0.869400,,0,,
dawson5,OK,1428486,0.034000,0.572928,298.831224,0.884700,,0,,
struct3,OK,1891920,0.024000,0.608256,269.697428,0.775300,,0,,
g7jac140sc,OK,3863178,0.073100,0.747008,353.491545,2.655400,,0,,
nemeth16,OK,4161903,0.016400,0.587360,330.499887,0.707400,,0,,
webbase-1M,OK,6106033,0.164700,0.975040,525.845528,1.157600,,0,,
pli,OK,6162461,0.036200,0.636448,269.177675,0.810000,,0,,
Freescale1,OK,7502150,0.489400,2.093472,2869.371176,4.844800,,0,,
web-NotreDame,OK,8910005,0.093000,0.767584,358.223200,0.827000,,0,,
cage14,OK,9610982,0.863500,6.889632,3449.532032,10.619500,,0,,
pcrystk03,OK,9821374,0.017200,3.453696,282.914877,1.950900,,0,,
pkustk06,OK,12965280,0.033600,3.519456,321.572304,20.658600,,0,,
bcsstk30,OK,15073574,0.034600,2.528288,282.541275,1.825100,,0,,
cant,OK,18370150,0.020800,4.237568,480.234385,2.901900,,0,,
consph,OK,34125815,0.045600,2.934784,608.660460,4.607100,,0,,
pdb1HYS,OK,48319315,0.027200,4.158912,491.409302,2.419500,,0,,
pwtk,OK,56997681,0.058800,1.181056,1034.858942,2.694100,,0,,
F1,OK,189516446,0.487500,3.292032,2064.458132,21.641400,,0,,
eu-2005,OK,202170577,2.712500,6.554784,1287.613630,5.975500,,0,,
Si41Ge41H72,OK,573035723,0.598300,2.060000,1348.632812,3.844900,,0,,
Ga41As41H72,OK,574004800,0.781500,2.554176,1517.643452,5.010800,,0,,
