Dataset,Status,Triangles,Kernel_ms,E2E_after_clean_ms,Wall_ms,Cleaning_ms,Build_ms,Retcode,Reason,Log
shyy41,OK,3040,0.029000,393.599033,392.286777,3.616095,1.312256,0,,
spaceStation_13,OK,9149,0.034000,238.510132,237.181425,2.771139,1.328707,0,,
bcsstk23,OK,29737,0.037000,231.364727,229.505539,4.516602,1.859188,0,,
bcsstm13,OK,54380,0.052000,234.981060,233.766794,2.482891,1.214266,0,,
g7jac020,OK,63905,0.062000,233.050823,231.056452,8.219242,1.994371,0,,
lpl1,OK,97633,0.137000,242.296696,237.202406,20.835161,5.094290,0,,
net50,OK,151640,0.198000,247.698307,238.046885,47.589064,9.651423,0,,
msc04515,OK,169488,0.043000,234.873772,232.692480,8.088350,2.181292,0,,
tandem_vtx,OK,193422,0.066000,230.089426,225.733995,15.695095,4.355431,0,,
delaunay_n17,OK,263620,0.158000,306.061983,290.061474,44.094801,16.000509,0,,
ex9,OK,288450,0.050000,240.036964,237.813473,7.880449,2.223492,0,,
mac_econ_fwd500,OK,298904,0.533000,282.131195,247.869253,170.551777,34.261942,0,,
torso2,OK,466426,0.175000,252.345324,238.071203,125.737429,14.274120,0,,
wiki-Vote,OK,608389,0.757000,238.818169,235.862494,15.645742,2.955675,0,,
bcsstk24,OK,703212,0.065000,227.449656,224.903822,12.146711,2.545834,0,,
mc2depi,OK,1048576,0.575000,303.879976,255.857706,256.265879,48.022270,0,,
dawson5,OK,1428486,0.188000,256.472111,243.344784,61.772823,13.127327,0,,
struct3,OK,1891920,0.204000,255.883932,240.847588,60.849667,15.036345,0,,
g7jac140sc,OK,3863178,0.898000,253.676653,241.719007,80.740452,11.957645,0,,
nemeth16,OK,4161903,0.165000,293.756008,286.945820,37.140608,6.810188,0,,
webbase-1M,OK,6106033,2.484000,337.113857,285.487413,384.376287,51.626444,0,,
pli,OK,6162461,0.489000,309.437990,295.677423,66.430569,13.760567,0,,
Freescale1,OK,7502150,2.578000,695.743322,452.202082,2728.028774,243.541241,0,,
web-NotreDame,OK,8910005,1.791000,278.599977,246.613741,168.061256,31.986237,0,,
cage14,OK,9610982,3.592000,724.084616,444.818735,3553.926468,279.265881,0,,
pcrystk03,OK,9821374,0.454000,259.210110,241.950274,81.046820,17.259836,0,,
pkustk06,OK,12965280,0.978000,325.194359,299.039364,122.266054,26.154995,0,,
bcsstk30,OK,15073574,1.211000,268.109560,247.534752,93.420029,20.574808,0,,
cant,OK,18370150,1.010000,297.831297,259.922028,216.995001,37.909269,0,,
consph,OK,34125815,1.525000,378.163099,326.074123,332.236767,52.088976,0,,
pdb1HYS,OK,48319315,2.452000,318.171978,281.315088,235.157728,36.856890,0,,
pwtk,OK,56997681,1.790000,425.481796,328.506947,685.196877,96.974850,0,,
F1,OK,189516446,8.184000,668.410778,468.226433,1593.551159,200.184345,0,,
eu-2005,OK,202170577,435.537000,2928.255796,2655.041695,2259.890318,273.214102,0,,
Si41Ge41H72,OK,573035723,13.687000,512.978315,399.024010,853.295803,113.954306,0,,
Ga41As41H72,OK,574004800,16.125000,581.084728,436.403036,1072.315931,144.681692,0,,
