Dataset,Status,Triangles,Kernel_ms,E2E_after_clean_ms,Wall_ms,Cleaning_ms,Build_ms,Retcode,Reason,Log
shyy41,OK,3040,0.188000,870.502472,869.023085,3.706932,1.479387,0,,
spaceStation_13,OK,9149,0.544000,231.052160,229.720116,2.750635,1.332045,0,,
bcsstk23,OK,29737,0.543000,286.470175,284.768105,4.559040,1.702070,0,,
bcsstm13,OK,54380,0.542000,233.234167,231.966734,2.855062,1.267433,0,,
g7jac020,OK,63905,0.544000,243.821144,241.554022,8.066654,2.267122,0,,
lpl1,OK,97633,0.546000,255.131721,249.361038,20.709276,5.770683,0,,
net50,OK,151640,0.514000,268.351555,258.343220,47.459364,10.008335,0,,
msc04515,OK,169488,0.546000,250.488520,248.280525,8.269310,2.207994,0,,
tandem_vtx,OK,193422,0.550000,251.116753,246.673107,15.961885,4.443645,0,,
delaunay_n17,OK,263620,0.380000,271.582127,255.535841,44.477463,16.046286,0,,
ex9,OK,288450,0.550000,244.010210,241.703272,7.829905,2.306938,0,,
mac_econ_fwd500,OK,298904,0.616000,318.363190,281.691313,171.137333,36.671877,0,,
torso2,OK,466426,0.488000,276.004791,261.363506,130.017519,14.641285,0,,
wiki-Vote,OK,608389,0.561000,247.348785,244.160414,15.586615,3.188372,0,,
bcsstk24,OK,703212,0.554000,243.419647,240.791798,12.264013,2.627850,0,,
mc2depi,CRASH,,,,1385.700703,254.977465,48.005581,-11,CRASH(SIGSEGV),/home/isrc/JKF/btc-tc/results-pro6000/failures/Fox/mc2depi.log
dawson5,OK,1428486,0.588000,271.389246,257.424593,64.338684,13.964653,0,,
struct3,OK,1891920,0.594000,272.702694,257.453203,61.977625,15.249491,0,,
g7jac140sc,OK,3863178,0.624000,270.483971,257.838011,80.302000,12.645960,0,,
nemeth16,OK,4161903,0.593000,308.182240,301.118851,37.317753,7.063389,0,,
webbase-1M,OK,6106033,0.642000,346.713543,293.096304,372.895479,53.617239,0,,
pli,OK,6162461,0.667000,270.716906,256.189108,68.728209,14.527798,0,,
Freescale1,OK,7502150,0.552000,726.547241,472.463131,2726.129770,254.084110,0,,
web-NotreDame,OK,8910005,0.632000,310.841322,278.404951,175.651550,32.436371,0,,
cage14,OK,9610982,1.449000,845.539331,556.272507,3652.229548,289.266825,0,,
pcrystk03,OK,9821374,0.721000,283.272982,264.647007,82.083225,18.625975,0,,
pkustk06,OK,12965280,0.764000,302.192926,275.092125,125.645399,27.100801,0,,
bcsstk30,OK,15073574,0.735000,279.864073,258.446693,95.903158,21.417379,0,,
cant,OK,18370150,0.873000,328.635931,288.915634,221.769810,39.720297,0,,
consph,OK,34125815,1.154000,383.231401,329.334021,339.016676,53.897381,0,,
pdb1HYS,OK,48319315,1.165000,330.069065,289.933681,241.892338,40.135384,0,,
pwtk,OK,56997681,1.461000,536.133289,437.464476,701.815605,98.668814,0,,
F1,OK,189516446,3.048000,775.567770,554.019690,1613.659382,221.548080,0,,
eu-2005,OK,202170577,2.414000,1003.581524,718.742132,2233.303308,284.839392,0,,
Si41Ge41H72,OK,573035723,4.638000,562.198162,440.522432,863.806009,121.675730,0,,
Ga41As41H72,OK,574004800,4.769000,623.234749,476.792574,1037.431002,146.442175,0,,
