Dataset,Status,Triangles,Kernel_ms,E2E_after_clean_ms,Wall_ms,Cleaning_ms,Build_ms,Retcode,Reason,Log
shyy41,OK,3040,0.106000,284.720659,282.346249,4.042387,2.374411,0,,
spaceStation_13,OK,9149,0.099000,223.877192,221.324205,2.721310,2.552986,0,,
bcsstk23,OK,29737,0.103000,217.236996,213.402033,4.679918,3.834963,0,,
bcsstm13,OK,54380,0.107000,274.626493,272.197247,2.762556,2.429247,0,,
g7jac020,OK,63905,0.101000,282.175064,275.803328,8.033991,6.371737,0,,
lpl1,OK,97633,0.105000,293.075323,272.743702,20.752907,20.331621,0,,
net50,OK,151640,0.128000,276.515245,220.778227,47.091961,55.737019,0,,
msc04515,OK,169488,0.100000,278.399706,271.082401,8.090019,7.317305,0,,
tandem_vtx,OK,193422,0.105000,295.472622,276.321173,15.834332,19.151449,0,,
delaunay_n17,OK,263620,0.117000,337.491512,274.010897,43.346643,63.480616,0,,
ex9,OK,288450,0.107000,228.548765,221.545696,7.688761,7.003069,0,,
mac_econ_fwd500,OK,298904,0.136000,454.774618,277.614594,169.438839,177.160025,0,,
torso2,OK,466426,0.112000,285.361052,228.945732,129.161358,56.415319,0,,
wiki-Vote,OK,608389,0.120000,240.610361,224.502087,15.735388,16.108274,0,,
bcsstk24,OK,703212,0.115000,235.203981,224.545240,12.139559,10.658741,0,,
mc2depi,OK,1048576,0.187000,483.261824,282.528400,257.779837,200.733423,0,,
dawson5,OK,1428486,0.122000,294.902086,230.736732,61.597347,64.165354,0,,
struct3,OK,1891920,0.119000,299.479961,221.550703,61.641216,77.929258,0,,
g7jac140sc,OK,3863178,0.150000,293.356657,223.380089,81.607103,69.976568,0,,
nemeth16,OK,4161903,0.126000,318.857908,275.082111,37.315845,43.775797,0,,
webbase-1M,OK,6106033,0.223000,595.913410,284.569740,377.048731,311.343670,0,,
pli,OK,6162461,0.166000,317.182779,228.061914,67.903042,89.120865,0,,
Freescale1,OK,7502150,0.331000,1387.597561,285.762548,2698.426485,1101.835012,0,,
web-NotreDame,OK,8910005,0.219000,389.136076,230.859518,175.853491,158.276558,0,,
cage14,OK,9610982,0.579000,2138.487577,385.931969,3624.738216,1752.555609,0,,
pcrystk03,OK,9821374,0.182000,329.625130,229.861021,81.714630,99.764109,0,,
pkustk06,OK,12965280,0.194000,357.381105,221.427679,123.653889,135.953426,0,,
bcsstk30,OK,15073574,0.189000,400.533676,276.356459,93.765736,124.177217,0,,
cant,OK,18370150,0.267000,505.436182,230.891943,220.125437,274.544239,0,,
consph,OK,34125815,0.358000,592.617512,241.509438,326.967955,351.108074,0,,
pdb1HYS,OK,48319315,0.428000,500.176191,230.989695,238.446236,269.186497,0,,
pwtk,OK,56997681,0.466000,872.906446,243.721247,700.432539,629.185200,0,,
F1,OK,189516446,1.325000,2179.114342,341.104269,1619.513035,1838.010073,0,,
eu-2005,OK,202170577,2.225000,2663.860798,366.959095,2230.426311,2296.901703,0,,
Si41Ge41H72,OK,573035723,2.487000,1337.969303,272.331715,849.088669,1065.637589,0,,
Ga41As41H72,OK,574004800,2.533000,1608.319044,328.168392,1040.662289,1280.150652,0,,
