Dataset,Status,Triangles,Kernel_ms,E2E_after_clean_ms,Wall_ms,Cleaning_ms,Build_ms,Retcode,Reason,Log
shyy41,OK,3040,0.126000,234.790564,234.790564,3.864765,0.000000,0,,
spaceStation_13,OK,9149,0.131000,231.907368,231.907368,2.546072,0.000000,0,,
bcsstk23,OK,29737,0.217000,278.833866,278.833866,4.568815,0.000000,0,,
bcsstm13,OK,54380,0.119000,227.063656,227.063656,2.382040,0.000000,0,,
g7jac020,OK,63905,0.376000,230.538368,230.538368,8.280277,0.000000,0,,
lpl1,OK,97633,1.387000,235.614777,235.614777,20.840168,0.000000,0,,
net50,OK,151640,4.480000,257.154226,257.154226,47.617912,0.000000,0,,
msc04515,OK,169488,0.443000,231.320620,231.320620,8.411646,0.000000,0,,
tandem_vtx,OK,193422,1.118000,226.681948,226.681948,16.061544,0.000000,0,,
delaunay_n17,OK,263620,3.636000,255.685806,255.685806,44.899464,0.000000,0,,
ex9,OK,288450,0.468000,229.425192,229.425192,7.982731,0.000000,0,,
mac_econ_fwd500,OK,298904,11.046000,300.620556,300.620556,178.088188,0.000000,0,,
torso2,OK,466426,4.417000,252.158165,252.158165,128.364086,0.000000,0,,
wiki-Vote,OK,608322,1.130000,286.067724,286.067724,16.016483,0.000000,0,,
bcsstk24,OK,703212,0.735000,236.744404,236.744404,12.418985,0.000000,0,,
mc2depi,OK,1048576,14.212000,312.568426,312.568426,263.383627,0.000000,0,,
dawson5,OK,1428486,4.420000,245.159864,245.159864,61.839581,0.000000,0,,
struct3,OK,1891920,5.333000,258.650064,258.650064,61.125040,0.000000,0,,
g7jac140sc,OK,3863178,4.824000,261.318445,261.318445,79.822063,0.000000,0,,
nemeth16,OK,4161903,2.463000,291.596174,291.596174,38.517714,0.000000,0,,
webbase-1M,OK,6100730,41.313000,456.849337,456.849337,377.442360,0.000000,0,,
pli,OK,6162461,6.494000,260.583162,260.583162,66.534281,0.000000,0,,
Freescale1,OK,7493035,79.689000,723.921776,723.921776,2737.388372,0.000000,0,,
web-NotreDame,OK,8908565,16.748000,309.487343,309.487343,172.586441,0.000000,0,,
cage14,OK,9578486,150.777000,1100.206375,1100.206375,3556.360722,0.000000,0,,
pcrystk03,OK,9821374,9.048000,280.325174,280.325174,81.485271,0.000000,0,,
pkustk06,OK,12965280,11.967000,290.738106,290.738106,120.857716,0.000000,0,,
bcsstk30,OK,15073574,9.298000,281.197786,281.197786,94.740391,0.000000,0,,
cant,OK,18370150,18.095000,325.945616,325.945616,224.899054,0.000000,0,,
consph,OK,34125815,28.075000,388.635159,388.635159,340.272188,0.000000,0,,
pdb1HYS,OK,48319315,19.431000,336.832047,336.832047,239.940166,0.000000,0,,
pwtk,OK,56997681,51.882000,530.378580,530.378580,708.516121,0.000000,0,,
F1,OK,189435653,148.145000,1082.486868,1082.486868,1613.577127,0.000000,0,,
eu-2005,OK,201591245,1083.538000,5830.497980,5830.497980,2235.614061,0.000000,0,,
Si41Ge41H72,OK,571822937,93.906000,806.113243,806.113243,869.116306,0.000000,0,,
Ga41As41H72,OK,573016605,107.926000,836.806059,836.806059,1058.521271,0.000000,0,,
