Dataset,Status,Triangles,Kernel_ms,E2E_after_clean_ms,Wall_ms,Cleaning_ms,Build_ms,Retcode,Reason,Log
shyy41,OK,3040,0.118000,680.787086,679.382563,3.838301,1.404524,0,,
spaceStation_13,OK,9149,0.114000,277.908325,276.601315,2.908230,1.307011,0,,
bcsstk23,OK,29737,0.066000,229.049444,227.530718,4.512072,1.518726,0,,
bcsstm13,OK,54380,0.097000,222.630978,221.521378,2.331972,1.109600,0,,
g7jac020,OK,63905,0.088000,279.090643,277.139187,8.144855,1.951456,0,,
lpl1,OK,97633,0.281000,284.101963,278.499603,20.988703,5.602360,0,,
net50,OK,151640,6.740000,289.893866,280.151129,47.036648,9.742737,0,,
msc04515,OK,169488,0.069000,280.851126,278.693199,8.247137,2.157927,0,,
tandem_vtx,OK,193422,0.175000,280.275822,275.708914,15.911102,4.566908,0,,
delaunay_n17,OK,263620,0.695000,248.719931,232.814550,43.812513,15.905380,0,,
ex9,OK,288450,0.060000,281.067848,278.996229,7.931948,2.071619,0,,
mac_econ_fwd500,OK,298904,0.536000,283.401012,246.480703,173.365831,36.920309,0,,
torso2,OK,466426,0.381000,255.091906,240.546942,130.709648,14.544964,0,,
wiki-Vote,OK,608389,0.084000,228.461742,225.381613,15.636921,3.080130,0,,
bcsstk24,OK,703212,0.068000,224.610329,221.882820,12.247801,2.727509,0,,
mc2depi,OK,1048576,0.679000,303.145409,254.629135,257.481575,48.516273,0,,
dawson5,OK,1428486,0.266000,301.509380,288.011074,62.060118,13.498306,0,,
struct3,OK,1891920,0.256000,252.838135,237.457275,62.255383,15.380859,0,,
g7jac140sc,OK,3863178,0.227000,249.902010,237.010479,81.773996,12.891531,0,,
nemeth16,OK,4161903,0.126000,236.921787,230.316639,37.479401,6.605148,0,,
webbase-1M,OK,6106033,0.911000,316.001415,261.975288,376.746178,54.026127,0,,
pli,OK,6162461,0.263000,255.311012,240.061283,66.217661,15.249729,0,,
Freescale1,OK,7502150,27.220000,841.569185,582.603693,2708.771229,258.965492,0,,
web-NotreDame,OK,8910005,1.997000,275.996447,242.350101,172.262669,33.646345,0,,
cage14,OK,9610982,2.897000,758.642673,467.509270,3642.411470,291.133404,0,,
pcrystk03,OK,9821374,0.279000,258.269072,240.121126,81.906080,18.147945,0,,
pkustk06,OK,12965280,0.385000,339.212894,310.550928,126.547813,28.661966,0,,
bcsstk30,OK,15073574,0.312000,265.800953,243.639708,95.271349,22.161245,0,,
cant,OK,18370150,0.527000,356.673479,314.903498,228.809595,41.769981,0,,
consph,OK,34125815,0.800000,336.073875,282.831669,339.918852,53.242207,0,,
pdb1HYS,OK,48319315,0.672000,301.753759,262.586117,236.808777,39.167643,0,,
pwtk,OK,56997681,1.357000,420.122147,320.241928,706.889153,99.880219,0,,
F1,OK,189516446,3.101000,670.789719,452.212095,1594.251633,218.577623,0,,
eu-2005,OK,202170577,5.135000,862.542629,572.101593,2229.693890,290.441036,0,,
Si41Ge41H72,OK,573035723,3.503000,540.375948,416.546822,850.210667,123.829126,0,,
Ga41As41H72,OK,574004800,3.776000,560.138226,403.824806,1041.116714,156.313419,0,,
