Dataset,Status,Triangles,Kernel_ms,E2E_after_clean_ms,Wall_ms,Cleaning_ms,Build_ms,Retcode,Reason,Log
shyy41,OK,3040,0.377000,345.735788,345.735788,,,0,,
spaceStation_13,OK,9149,0.540000,232.762098,232.762098,,,0,,
bcsstk23,OK,29737,0.992000,243.579388,243.579388,,,0,,
bcsstm13,OK,54380,0.860000,234.932184,234.932184,,,0,,
g7jac020,OK,63905,0.930000,251.207113,251.207113,,,0,,
lpl1,OK,97633,2.686000,273.009300,273.009300,,,0,,
net50,OK,151640,4.898000,322.547674,322.547674,,,0,,
msc04515,OK,169488,0.857000,244.247437,244.247437,,,0,,
tandem_vtx,OK,193422,3.210000,265.927315,265.927315,,,0,,
delaunay_n17,OK,263620,7.591000,317.945242,317.945242,,,0,,
ex9,OK,288450,0.696000,245.751619,245.751619,,,0,,
mac_econ_fwd500,OK,298904,12.156000,570.235968,570.235968,,,0,,
torso2,OK,466426,4.688000,465.946674,465.946674,,,0,,
wiki-Vote,OK,608389,5.074000,339.865208,339.865208,,,0,,
bcsstk24,OK,703212,1.392000,260.475397,260.475397,,,0,,
mc2depi,OK,1048576,12.329000,558.526039,558.526039,,,0,,
dawson5,OK,1428486,5.014000,374.448538,374.448538,,,0,,
struct3,OK,1891920,4.556000,372.713089,372.713089,,,0,,
g7jac140sc,OK,3863178,5.290000,390.288591,390.288591,,,0,,
nemeth16,OK,4161903,3.443000,332.097769,332.097769,,,0,,
webbase-1M,OK,6106033,25.977000,927.626610,927.626610,,,0,,
pli,OK,6162461,6.645000,402.217627,402.217627,,,0,,
Freescale1,OK,7502150,57.961000,4598.615885,4598.615885,,,0,,
web-NotreDame,OK,8910005,18.574000,554.049969,554.049969,,,0,,
cage14,OK,9610982,57.567000,5815.522432,5815.522432,,,0,,
pcrystk03,OK,9821374,5.224000,359.145403,359.145403,,,0,,
pkustk06,OK,12965280,9.651000,484.000206,484.000206,,,0,,
bcsstk30,OK,15073574,7.597000,397.240162,397.240162,,,0,,
cant,OK,18370150,11.863000,763.137341,763.137341,,,0,,
consph,OK,34125815,16.670000,995.138645,995.138645,,,0,,
pdb1HYS,OK,48319315,19.391000,844.760895,844.760895,,,0,,
pwtk,OK,56997681,33.086000,1731.921196,1731.921196,,,0,,
F1,OK,189516446,121.739000,4371.423721,4371.423721,,,0,,
eu-2005,OK,202170577,206.957000,3939.544678,3939.544678,,,0,,
Si41Ge41H72,OK,573035723,89.688000,2857.412815,2857.412815,,,0,,
Ga41As41H72,OK,574004800,92.777000,3225.901365,3225.901365,,,0,,
