Dataset,Status,Triangles,Kernel_ms,E2E_after_clean_ms,Wall_ms,Cleaning_ms,Build_ms,Retcode,Reason,Log
shyy41,OK,3040,0.123000,59.178114,59.178114,,,0,,
spaceStation_13,OK,9149,0.270000,14.398336,14.398336,,,0,,
bcsstk23,OK,29737,0.715000,22.660971,22.660971,,,0,,
bcsstm13,OK,54380,0.582000,16.817331,16.817331,,,0,,
g7jac020,OK,63905,0.687000,28.653860,28.653860,,,0,,
lpl1,OK,97633,2.999000,52.032948,52.032948,,,0,,
net50,OK,151640,4.507000,95.903873,95.903873,,,0,,
msc04515,OK,169488,0.609000,32.215595,32.215595,,,0,,
tandem_vtx,OK,193422,2.389000,45.998812,45.998812,,,0,,
delaunay_n17,OK,263620,5.771000,95.583200,95.583200,,,0,,
ex9,OK,288450,0.815000,33.246517,33.246517,,,0,,
mac_econ_fwd500,OK,298904,7.094000,336.455345,336.455345,,,0,,
torso2,OK,466426,2.932000,241.717339,241.717339,,,0,,
wiki-Vote,OK,608389,4.937000,70.386171,70.386171,,,0,,
bcsstk24,OK,703212,0.970000,43.369532,43.369532,,,0,,
mc2depi,OK,1048576,4.886000,298.598528,298.598528,,,0,,
dawson5,OK,1428486,5.770000,164.597988,164.597988,,,0,,
struct3,OK,1891920,3.342000,96.023560,96.023560,,,0,,
g7jac140sc,OK,3863178,5.663000,163.420439,163.420439,,,0,,
nemeth16,OK,4161903,2.843000,113.504171,113.504171,,,0,,
webbase-1M,OK,6106033,18.109000,655.969381,655.969381,,,0,,
pli,OK,6162461,6.092000,137.192726,137.192726,,,0,,
Freescale1,OK,7502150,39.542000,4293.777704,4293.777704,,,0,,
web-NotreDame,OK,8910005,11.195000,235.131264,235.131264,,,0,,
cage14,OK,9610982,47.786000,5519.322395,5519.322395,,,0,,
pcrystk03,OK,9821374,3.687000,143.238306,143.238306,,,0,,
pkustk06,OK,12965280,9.411000,221.963167,221.963167,,,0,,
bcsstk30,OK,15073574,6.503000,180.190325,180.190325,,,0,,
cant,OK,18370150,11.124000,569.327831,569.327831,,,0,,
consph,OK,34125815,14.575000,788.544178,788.544178,,,0,,
pdb1HYS,OK,48319315,19.014000,691.265345,691.265345,,,0,,
pwtk,OK,56997681,21.703000,1493.183613,1493.183613,,,0,,
F1,OK,189516446,117.169000,4190.556765,4190.556765,,,0,,
eu-2005,OK,202170577,195.970000,3713.394403,3713.394403,,,0,,
Si41Ge41H72,OK,573035723,87.851000,2829.832792,2829.832792,,,0,,
Ga41As41H72,OK,574004800,92.816000,3241.302252,3241.302252,,,0,,
