Dataset,Status,Triangles,Kernel_ms,E2E_after_clean_ms,Wall_ms,Cleaning_ms,Build_ms,Retcode,Reason,Log
shyy41,OK,3040,0.025000,224.803925,222.137928,3.906727,2.665997,0,,
spaceStation_13,OK,9149,0.028000,276.920557,274.556398,2.898693,2.364159,0,,
bcsstk23,OK,29737,0.028000,229.549885,225.623608,4.667521,3.926277,0,,
bcsstm13,OK,54380,0.030000,214.059114,211.780548,2.599955,2.278566,0,,
g7jac020,OK,63905,0.030000,280.755281,274.227142,8.222580,6.528139,0,,
lpl1,OK,97633,0.032000,298.506021,275.434256,21.073103,23.071766,0,,
net50,OK,151640,0.088000,335.630894,279.978514,47.775030,55.652380,0,,
msc04515,OK,169488,0.030000,233.189583,225.275755,7.914782,7.913828,0,,
tandem_vtx,OK,193422,0.032000,295.916319,278.028011,15.987635,17.888308,0,,
delaunay_n17,OK,263620,0.034000,328.423500,275.644779,44.417858,52.778721,0,,
ex9,OK,288450,0.030000,237.003803,228.854179,8.020163,8.149624,0,,
mac_econ_fwd500,OK,298904,0.062000,418.757915,228.251934,176.742792,190.505981,0,,
torso2,OK,466426,0.036000,299.284458,229.258776,130.232573,70.025682,0,,
wiki-Vote,OK,608389,0.053000,242.552042,227.153063,15.580893,15.398979,0,,
bcsstk24,OK,703212,0.037000,237.760067,226.315498,12.031794,11.444569,0,,
mc2depi,OK,1048576,0.055000,508.640051,241.095066,255.913496,267.544985,0,,
dawson5,OK,1428486,0.046000,293.282270,218.522310,61.564922,74.759960,0,,
struct3,OK,1891920,0.053000,338.813782,230.228901,61.440706,108.584881,0,,
g7jac140sc,OK,3863178,0.110000,297.708988,226.467609,79.676151,71.241379,0,,
nemeth16,OK,4161903,0.056000,326.610327,277.318716,37.355900,49.291611,0,,
webbase-1M,OK,6106033,0.154000,557.660818,295.392752,387.049913,262.268066,0,,
pli,OK,6162461,0.117000,328.163624,231.018305,66.874504,97.145319,0,,
Freescale1,OK,7502150,0.194000,1841.129541,422.729015,2688.673019,1418.400526,0,,
web-NotreDame,OK,8910005,0.130000,378.747463,236.991882,175.719500,141.755581,0,,
cage14,OK,9610982,0.555000,3151.282787,465.246201,3685.164452,2686.036587,0,,
pcrystk03,OK,9821374,0.138000,345.010757,228.779316,83.938599,116.231441,0,,
pkustk06,OK,12965280,0.169000,420.481682,245.212317,124.296188,175.269365,0,,
bcsstk30,OK,15073574,0.147000,421.467543,277.312756,94.832420,144.154787,0,,
cant,OK,18370150,0.265000,632.348537,293.540239,227.119684,338.808298,0,,
consph,OK,34125815,0.386000,673.046827,250.715494,336.937666,422.331333,0,,
pdb1HYS,OK,48319315,0.448000,605.490923,297.991276,238.229990,307.499647,0,,
pwtk,OK,56997681,0.496000,1309.237242,352.767706,718.790770,956.469536,0,,
F1,OK,189516446,1.465000,2741.156101,446.347475,1591.208935,2294.808626,0,,
eu-2005,OK,202170577,1.576000,3231.721401,524.251699,2267.722368,2707.469702,0,,
Si41Ge41H72,OK,573035723,2.919000,1797.272444,313.738585,868.108749,1483.533859,0,,
Ga41As41H72,OK,574004800,2.910000,2290.579081,338.510275,1056.952477,1952.068806,0,,
