Dataset,Status,Triangles,Kernel_ms,E2E_after_clean_ms,Wall_ms,Cleaning_ms,Build_ms,Retcode,Reason,Log
shyy41,OK,3040,0.081000,1633.777380,1628.208160,11.696339,5.569220,0,,
spaceStation_13,OK,9149,0.084000,699.794769,696.155310,9.175301,3.639460,0,,
bcsstk23,OK,29737,0.086000,759.475231,753.382444,16.138077,6.092787,0,,
bcsstm13,OK,54380,0.099000,708.857536,705.722094,8.763790,3.135443,0,,
g7jac020,OK,63905,0.095000,731.465816,722.511292,27.478933,8.954525,0,,
lpl1,OK,97633,0.101000,771.882534,731.090784,99.964619,40.791750,0,,
net50,OK,151640,0.124000,765.558004,711.867094,219.775200,53.690910,0,,
msc04515,OK,169488,0.103000,717.386961,707.593679,32.403946,9.793282,0,,
tandem_vtx,OK,193422,0.110000,768.600702,739.160776,70.613384,29.439926,0,,
delaunay_n17,OK,263620,0.139000,874.082565,744.360924,188.725710,129.721642,0,,
ex9,OK,288450,0.102000,707.447290,698.938608,31.360626,8.508682,0,,
mac_econ_fwd500,OK,298904,0.207000,1061.782122,739.602327,721.460342,322.179794,0,,
torso2,OK,466426,0.152000,828.351259,705.226183,452.665091,123.125076,0,,
wiki-Vote,OK,608389,0.120000,718.358040,701.858044,55.103540,16.499996,0,,
bcsstk24,OK,703212,0.106000,741.660357,729.661226,49.246073,11.999130,0,,
mc2depi,OK,1048576,0.264000,1263.097286,734.641075,1202.103376,528.456211,0,,
dawson5,OK,1428486,0.191000,806.714773,719.660759,273.118973,87.054014,0,,
struct3,OK,1891920,0.196000,825.659990,734.023571,300.174713,91.636419,0,,
g7jac140sc,OK,3863178,0.231000,1462.630987,1386.499882,299.876690,76.131105,0,,
nemeth16,OK,4161903,0.147000,750.582457,716.032505,169.788122,34.549952,0,,
webbase-1M,OK,6106033,0.290000,1773.015499,742.389679,1345.700979,1030.625820,0,,
pli,OK,6162461,0.243000,796.971321,722.511530,305.778742,74.459791,0,,
Freescale1,OK,7502150,1.374000,6464.364052,1315.133810,8991.490364,5149.230242,0,,
web-NotreDame,OK,8910005,0.258000,1062.232971,733.542919,617.140293,328.690052,0,,
cage14,OK,9610982,1.068000,4886.087656,909.793854,10791.525841,3976.293802,0,,
pcrystk03,OK,9821374,0.254000,1805.206060,1718.430519,392.428160,86.775541,0,,
pkustk06,OK,12965280,0.282000,873.023510,729.064703,570.250511,143.958807,0,,
bcsstk30,OK,15073574,0.263000,823.341608,718.060255,436.951160,105.281353,0,,
cant,OK,18370150,0.382000,941.471815,715.116501,975.683689,226.355314,0,,
consph,OK,34125815,0.499000,1093.835831,754.181385,1444.287539,339.654446,0,,
pdb1HYS,OK,48319315,0.625000,905.200958,707.541704,1035.287142,197.659254,0,,
pwtk,OK,56997681,0.520000,1465.578079,726.716042,2843.761921,738.862038,0,,
F1,OK,189516446,1.369000,3147.367954,1180.796623,6641.426802,1966.571331,0,,
eu-2005,OK,202170577,1.331000,3660.949230,903.660774,8133.967400,2757.288456,0,,
Si41Ge41H72,OK,573035723,1.874000,1701.683998,814.893484,3668.497562,886.790514,0,,
Ga41As41H72,OK,574004800,1.927000,2531.936407,1321.240425,4566.143274,1210.695982,0,,
