Dataset,Status,Triangles,Kernel_ms,E2E_after_clean_ms,Wall_ms,Cleaning_ms,Build_ms,Retcode,Reason,Log
shyy41,OK,3040,0.016512,4.343904,234.139919,,,0,,
spaceStation_13,OK,9149,0.019424,4.525056,237.731457,,,0,,
bcsstk23,OK,29737,0.016096,4.636384,288.828850,,,0,,
bcsstm13,OK,54380,0.017216,4.712832,239.489079,,,0,,
g7jac020,OK,63905,0.040640,4.568800,230.726480,,,0,,
lpl1,OK,97633,0.057856,5.587040,249.569178,,,0,,
net50,OK,151640,0.024256,5.355904,258.471012,,,0,,
msc04515,OK,169488,0.017280,4.736864,247.725725,,,0,,
tandem_vtx,OK,193422,0.052544,5.050848,297.949791,,,0,,
delaunay_n17,OK,263620,0.084960,5.660800,317.316294,,,0,,
ex9,OK,288450,0.014880,4.479008,294.910669,,,0,,
mac_econ_fwd500,OK,298904,0.511968,7.616000,449.724913,,,0,,
torso2,OK,466426,0.062464,5.729312,432.389975,,,0,,
wiki-Vote,OK,608389,0.492128,6.620032,301.273823,,,0,,
bcsstk24,OK,703210,0.016288,4.794624,299.218178,,,0,,
mc2depi,OK,1048576,0.077056,6.681920,388.577461,,,0,,
dawson5,OK,1428486,0.059616,5.294080,360.673666,,,0,,
struct3,OK,1891920,0.039904,5.644512,329.591751,,,0,,
g7jac140sc,OK,3863178,0.964832,8.108768,316.337347,,,0,,
nemeth16,OK,4162125,0.017504,4.968800,289.640427,,,0,,
webbase-1M,OK,6106034,0.285696,7.988704,603.706837,,,0,,
pli,OK,6162461,0.061344,6.010016,277.433157,,,0,,
Freescale1,OK,7502150,1.040288,23.927392,2841.994047,,,0,,
web-NotreDame,OK,8910052,0.199936,6.832416,328.319073,,,0,,
cage14,OK,9610982,3.071040,54.986176,3546.773672,,,0,,
pcrystk03,OK,9821374,0.050144,5.804576,337.570667,,,0,,
pkustk06,OK,12965280,0.093632,6.547872,310.704947,,,0,,
bcsstk30,OK,15073585,0.050272,5.885376,296.636581,,,0,,
cant,OK,18370150,0.085152,6.925792,495.139360,,,0,,
consph,OK,34126261,0.197952,8.973184,621.769190,,,0,,
pdb1HYS,OK,48319268,0.085280,7.003648,504.581690,,,0,,
pwtk,OK,56997597,0.123968,11.576704,1060.545921,,,0,,
F1,OK,189516436,2.357728,32.693504,2105.903149,,,0,,
eu-2005,OK,199483001,5.359040,92.601856,1450.170279,,,0,,
Si41Ge41H72,OK,573035562,3.514784,31.147585,1345.690489,,,0,,
Ga41As41H72,OK,574003456,4.293792,37.518784,1561.669588,,,0,,
