Dataset,Status,Triangles,Kernel_ms,E2E_after_clean_ms,Wall_ms,Cleaning_ms,Build_ms,Retcode,Reason,Log
shyy41,OK,3040,0.840000,762.477875,761.013985,3.854752,1.463890,0,,
spaceStation_13,OK,9149,0.841000,241.132498,239.756584,3.600836,1.375914,0,,
bcsstk23,OK,29737,0.839000,234.571695,232.977152,4.483223,1.594543,0,,
bcsstm13,OK,54380,0.838000,236.775637,235.580206,3.410816,1.195431,0,,
g7jac020,OK,63905,0.840000,243.342400,241.399527,8.749247,1.942873,0,,
lpl1,OK,97633,0.837000,249.400377,243.755579,21.084309,5.644798,0,,
net50,OK,151640,0.846000,251.980782,242.138624,47.572851,9.842157,0,,
msc04515,OK,169488,0.838000,240.254879,238.153696,8.757114,2.101183,0,,
tandem_vtx,OK,193422,0.841000,245.866776,241.394043,16.932964,4.472733,0,,
delaunay_n17,OK,263620,0.841000,259.360552,242.880583,44.909716,16.479969,0,,
ex9,OK,288450,0.839000,244.459867,242.336988,9.515762,2.122879,0,,
mac_econ_fwd500,OK,298904,0.872000,335.863590,300.916195,188.500404,34.947395,0,,
torso2,OK,466426,0.842000,263.361454,249.408484,174.164772,13.952971,0,,
wiki-Vote,OK,608389,0.843000,243.208170,240.020752,16.487122,3.187418,0,,
bcsstk24,OK,703212,0.842000,245.450735,242.701054,12.413502,2.749681,0,,
mc2depi,OK,1048576,0.940000,300.591230,253.470898,267.734051,47.120333,0,,
dawson5,OK,1428486,0.844000,257.411957,244.176388,79.890966,13.235569,0,,
struct3,OK,1891920,0.841000,261.238337,246.396780,64.553976,14.841557,0,,
g7jac140sc,OK,3863178,0.841000,253.819942,241.573334,87.949991,12.246609,0,,
nemeth16,OK,4161903,0.845000,245.664597,238.967657,44.665337,6.696939,0,,
webbase-1M,OK,6106033,0.923000,311.740875,261.074066,391.037703,50.666809,0,,
pli,OK,6162461,0.858000,258.051395,243.350744,68.391085,14.700651,0,,
Freescale1,OK,7502150,1.922000,581.154108,340.826511,2880.004168,240.327597,0,,
web-NotreDame,OK,8910005,0.872000,279.846430,248.835802,172.766924,31.010628,0,,
cage14,OK,9610982,2.678000,692.173719,422.587395,3913.452148,269.586325,0,,
pcrystk03,OK,9821374,0.872000,263.716459,246.791601,85.772514,16.924858,0,,
pkustk06,OK,12965280,0.886000,276.656866,250.915051,125.904560,25.741816,0,,
bcsstk30,OK,15073574,0.883000,265.600443,244.371176,95.588207,21.229267,0,,
cant,OK,18370150,0.944000,292.828083,254.394770,223.698616,38.433313,0,,
consph,OK,34125815,1.125000,317.165613,268.959045,390.150309,48.206568,0,,
pdb1HYS,OK,48319315,1.006000,293.587685,256.914854,254.206419,36.672831,0,,
pwtk,OK,56997681,1.474000,378.768682,286.405563,748.068571,92.363119,0,,
F1,OK,189516446,2.813000,609.557152,415.048361,1824.818134,194.508791,0,,
eu-2005,OK,202170577,3.122000,645.376921,389.239311,2232.383966,256.137609,0,,
Si41Ge41H72,OK,573035723,3.153000,428.478956,321.311712,909.619570,107.167244,0,,
Ga41As41H72,OK,574004800,3.353000,507.028341,369.868040,1116.323709,137.160301,0,,
