dataset,block_type,tau,kernel_ms,triangles,correct
wiki-Vote,128,0,0.119552,608389,true
wiki-Vote,128,64,0.051136,608389,true
wiki-Vote,128,128,0.051488,608389,true
wiki-Vote,128,256,0.050624,608389,true
wiki-Vote,128,384,0.050912,608389,true
wiki-Vote,128,512,0.051168,608389,true
wiki-Vote,128,768,0.051168,608389,true
wiki-Vote,128,1024,0.051424,608389,true
wiki-Vote,128,1536,0.053280,608389,true
wiki-Vote,128,2048,0.051136,608389,true
g7jac140sc,128,0,0.391744,3863178,true
g7jac140sc,128,64,0.099904,3863178,true
g7jac140sc,128,128,0.079616,3863178,true
g7jac140sc,128,256,0.080352,3863178,true
g7jac140sc,128,384,0.079648,3863178,true
g7jac140sc,128,512,0.081152,3863178,true
g7jac140sc,128,768,0.080064,3863178,true
g7jac140sc,128,1024,0.080000,3863178,true
g7jac140sc,128,1536,0.080480,3863178,true
g7jac140sc,128,2048,0.079776,3863178,true
consph,128,0,0.079360,34125815,true
consph,128,64,0.063296,34125815,true
consph,128,128,0.060832,34125815,true
consph,128,256,0.045184,34125815,true
consph,128,384,0.042656,34125815,true
consph,128,512,0.045248,34125815,true
consph,128,768,0.045216,34125815,true
consph,128,1024,0.046848,34125815,true
consph,128,1536,0.044416,34125815,true
consph,128,2048,0.044768,34125815,true
cant,128,0,0.327200,18370150,true
cant,128,64,0.164160,18370150,true
cant,128,128,0.172320,18370150,true
cant,128,256,0.165760,18370150,true
cant,128,384,0.162880,18370150,true
cant,128,512,0.162176,18370150,true
cant,128,768,0.167808,18370150,true
cant,128,1024,0.164000,18370150,true
cant,128,1536,0.165760,18370150,true
cant,128,2048,0.165920,18370150,true
pwtk,128,0,0.220928,56997681,true
pwtk,128,64,0.155744,56997681,true
pwtk,128,128,0.114816,56997681,true
pwtk,128,256,0.095744,56997681,true
pwtk,128,384,0.089600,56997681,true
pwtk,128,512,0.094304,56997681,true
pwtk,128,768,0.091168,56997681,true
pwtk,128,1024,0.091936,56997681,true
pwtk,128,1536,0.091648,56997681,true
pwtk,128,2048,0.092352,56997681,true
F1,128,0,1.275872,189516446,true
F1,128,64,0.612576,189516446,true
F1,128,128,0.513888,189516446,true
F1,128,256,0.467200,189516446,true
F1,128,384,0.463136,189516446,true
F1,128,512,0.465824,189516446,true
F1,128,768,0.464672,189516446,true
F1,128,1024,0.462272,189516446,true
F1,128,1536,0.462624,189516446,true
F1,128,2048,0.464224,189516446,true
eu-2005,128,0,6.233952,202170577,true
eu-2005,128,64,2.775872,202170577,true
eu-2005,128,128,2.716512,202170577,true
eu-2005,128,256,2.697728,202170577,true
eu-2005,128,384,2.708128,202170577,true
eu-2005,128,512,2.681024,202170577,true
eu-2005,128,768,2.701632,202170577,true
eu-2005,128,1024,2.698144,202170577,true
eu-2005,128,1536,2.734592,202170577,true
eu-2005,128,2048,2.665376,202170577,true
Ga41As41H72,128,0,25.033377,574004800,true
Ga41As41H72,128,64,4.312768,574004800,true
Ga41As41H72,128,128,4.295744,574004800,true
Ga41As41H72,128,256,4.292768,574004800,true
Ga41As41H72,128,384,4.298176,574004800,true
Ga41As41H72,128,512,4.308992,574004800,true
Ga41As41H72,128,768,4.287840,574004800,true
Ga41As41H72,128,1024,4.296608,574004800,true
Ga41As41H72,128,1536,4.268064,574004800,true
Ga41As41H72,128,2048,4.269824,574004800,true
